,country,state_territory,region,city_area,shop_name,website,email,address,explicitly_states_scuba,meets_final4,source_urls,google_reviews_link,google_maps_url,google_rating,google_reviews_count,tripadvisor_url,tripadvisor_rating,tripadvisor_reviews_count,last_review_check_utc
0,Australia,Northern Territory,Top End – Darwin & Surrounds,Darwin Waterfront (CBD),Dive Darwin,https://www.divedarwin.com.au/,info@learntodivedarwin.com.au,"302/19B Kitchener Drive, Darwin NT 0800, Australia",True,True,https://www.divedarwin.com.au/ | https://www.tourismtopend.com.au/tours/darwin-cbd/dive-darwin | https://m.facebook.com/learntodivedarwin/about/,https://www.google.com/maps/search/?api=1&query=Dive%20Darwin%20Darwin%20Waterfront%20Kitchener%20Drive%20NT%20Australia,,,,https://www.tripadvisor.com/Search?q=Dive%20Darwin%20Darwin%20NT%20Australia,,,2025-08-17T21:36:05Z
18,Australia,Queensland,Tropical North QLD — Cairns & Coral Sea (Liveaboard),Cairns (Parramatta Park),Spirit of Freedom (Liveaboard),https://www.spiritoffreedom.com.au/,info@spiritoffreedom.com.au,"319 Draper Street, Cairns QLD 4870, Australia",True,True,https://www.spiritoffreedom.com.au/ | https://tropicalnorthqueensland.org.au/listing/product/spirit-of-freedom/,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Freedom%20%28Liveaboard%29%20Cairns%20%28Parramatta%20Park%29%20%20Australia,https://www.google.com/maps/search/?api=1&query=Spirit%20of%20Freedom%20%28Liveaboard%29%20Cairns%20%28Parramatta%20Park%29%20%20Australia,,,https://www.tripadvisor.com/Search?q=Spirit%20of%20Freedom%20%28Liveaboard%29%20Cairns%20%28Parramatta%20Park%29%20%20Australia,4.8,406.0,2025-08-17T22:39:28Z
19,Australia,Queensland,Tropical North QLD — Cairns & GBR (Liveaboard),Cairns CBD,Reef Encounter (Liveaboard),https://reefencounter.com.au/,info@reefencounter.com.au,"100 Abbott Street, Cairns QLD 4870, Australia",True,True,https://reefencounter.com.au/contact-us/ | https://reefencounter.com.au/files/Reef-Encounter-Standard-Terms-and-Conditions.pdf,https://www.google.com/maps/search/?api=1&query=Reef%20Encounter%20%28Liveaboard%29%20Cairns%20CBD%20%20Australia,https://www.google.com/maps/search/?api=1&query=Reef%20Encounter%20%28Liveaboard%29%20Cairns%20CBD%20%20Australia,,,https://www.tripadvisor.com/Search?q=Reef%20Encounter%20%28Liveaboard%29%20Cairns%20CBD%20%20Australia,4.6,390.0,2025-08-17T22:39:28Z
20,Australia,Queensland,Tropical North QLD — Cairns (Liveaboard),Yorkeys Knob,Coral Sea Dreaming (Liveaboard),https://www.coralseadreaming.com.au/,coralseadreamingdiveandsail@gmail.com,"Unit 5, 78–80 Cunningham St, Yorkeys Knob QLD 4878, Australia",True,True,https://www.padi.com/dive-center/australia/coral-sea-dreaming-dive-sail/ | https://www.coralseadreaming.com.au/,https://www.google.com/maps/search/?api=1&query=Coral%20Sea%20Dreaming%20%28Liveaboard%29%20Yorkeys%20Knob%20%20Australia,https://www.google.com/maps/search/?api=1&query=Coral%20Sea%20Dreaming%20%28Liveaboard%29%20Yorkeys%20Knob%20%20Australia,,,https://www.tripadvisor.com/Search?q=Coral%20Sea%20Dreaming%20%28Liveaboard%29%20Yorkeys%20Knob%20%20Australia,4.8,21.0,2025-08-17T22:39:28Z
21,Australia,Queensland,Whitsundays — Airlie Beach (Liveaboard),Airlie Beach,Kiana Sail & Dive (Liveaboard),https://www.mskiana.com/,info@mskiana.com,"8/390 Shute Harbour Road, Airlie Beach QLD 4802, Australia",True,True,https://www.mskiana.com/contact | https://whitsundayssailingadventures.com.au/contact-us/,https://www.google.com/maps/search/?api=1&query=Kiana%20Sail%20%26%20Dive%20%28Liveaboard%29%20Airlie%20Beach%20%20Australia,https://www.google.com/maps/search/?api=1&query=Kiana%20Sail%20%26%20Dive%20%28Liveaboard%29%20Airlie%20Beach%20%20Australia,,,https://www.tripadvisor.com/Search?q=Kiana%20Sail%20%26%20Dive%20%28Liveaboard%29%20Airlie%20Beach%20%20Australia,4.7,90.0,2025-08-17T22:39:28Z
23,Australia,South Australia,Eyre Peninsula — Port Lincoln (Liveaboard),Mile End / Port Lincoln,Rodney Fox Shark Expeditions (Liveaboard),https://rodneyfox.com.au/,expeditions@rodneyfox.com.au,"107 Henley Beach Road, Mile End SA 5031, Australia",True,True,https://rodneyfox.com.au/ | https://rodneyfox.com.au/tours/,https://www.google.com/maps/search/?api=1&query=Rodney%20Fox%20Shark%20Expeditions%20%28Liveaboard%29%20Mile%20End%20/%20Port%20Lincoln%20%20Australia,https://www.google.com/maps/search/?api=1&query=Rodney%20Fox%20Shark%20Expeditions%20%28Liveaboard%29%20Mile%20End%20/%20Port%20Lincoln%20%20Australia,,,https://www.tripadvisor.com/Search?q=Rodney%20Fox%20Shark%20Expeditions%20%28Liveaboard%29%20Mile%20End%20/%20Port%20Lincoln%20%20Australia,5.0,290.0,2025-08-17T22:39:28Z
1,Australia,Western Australia,Kimberley – Broome & Rowley Shoals Charters,Broome (Carnarvon St),True North Adventure Cruises (Diving),https://truenorth.com.au/,cruise@truenorth.com.au,"Shop 2, 6 Carnarvon Street, Broome WA 6725, Australia",True,True,https://truenorth.com.au/contact/ | https://www.padi.com/dive-center/australia/true-north-adventure-cruises/ | https://www.whereis.com/wa/broome-6725/yellowId-1000002373989,https://www.google.com/maps/search/?api=1&query=True%20North%20Adventure%20Cruises%20Carnarvon%20Street%20Broome%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=True%20North%20Adventure%20Cruises%20Carnarvon%20Street%20Broome%20WA%20Australia,,,https://www.tripadvisor.com.au/Cruise_Review-d15691879-Reviews-True_North,,,2025-08-17T21:48:50Z
2,Australia,Western Australia,Kimberley – Broome & Rowley Shoals Charters,Broome (Chinatown),The Great Escape Charter Company (Rowley Shoals Diving),https://greatescapecruises.com.au/,hello@greatescapecruises.com.au,"Suite 4, 15–17 Dampier Terrace, Broome WA 6725, Australia",True,True,https://greatescapecruises.com.au/contact/ | https://greatescapecruises.com.au/experience/scuba-diving/ | https://travel.padi.com/liveaboard/australia/the-great-escape-charter-company/,https://www.google.com/maps/search/?api=1&query=Great%20Escape%20Charter%20Company%20Dampier%20Terrace%20Broome%20WA%20Australia,,,,https://www.tripadvisor.com/Search?q=Great%20Escape%20Charter%20Company%20Rowley%20Shoals%20Broome%20WA%20Australia,,,2025-08-17T21:36:05Z
3,Australia,Western Australia,Kimberley – Broome & Rowley Shoals Charters,Broome (Lucas St),Odyssey Expeditions (Rowley Shoals Diving),https://odysseyexpeditions.com.au/,info@odysseyexpeditions.com.au,"5 Lucas Street, Broome WA 6725, Australia",True,True,https://www.australiasnorthwest.com/listing/odyssey-expeditions/567/ | https://odysseyexpeditions.com.au/cruise-information/rowley-shoals/ | https://odysseyexpeditions.com.au/schedules-and-rates/,https://www.google.com/maps/search/?api=1&query=Odyssey%20Expeditions%20Lucas%20Street%20Broome%20WA%20Australia,,,,https://www.tripadvisor.com/Search?q=Odyssey%20Expeditions%20Rowley%20Shoals%20diving%20Broome%20WA%20Australia,,,2025-08-17T21:36:05Z
22,Australia,Western Australia,Kimberley — Rowley Shoals (Liveaboard),Broome (Frederick St),Ocean Dream Charters (Liveaboard),https://oceandreamcharters.com.au/,info@oceandreamcharters.com.au,"Unit 3, 10 Frederick Street, Broome WA 6725, Australia",True,True,https://oceandreamcharters.com.au/rowley-shoals/ | https://www.australiasnorthwest.com/listing/ocean-dream-charters/242/,https://www.google.com/maps/search/?api=1&query=Ocean%20Dream%20Charters%20%28Liveaboard%29%20Broome%20%28Frederick%20St%29%20%20Australia,https://www.google.com/maps/search/?api=1&query=Ocean%20Dream%20Charters%20%28Liveaboard%29%20Broome%20%28Frederick%20St%29%20%20Australia,,,https://www.tripadvisor.com/Search?q=Ocean%20Dream%20Charters%20%28Liveaboard%29%20Broome%20%28Frederick%20St%29%20%20Australia,5.0,24.0,2025-08-17T22:39:28Z
4,Australia,Western Australia,Mid West – Geraldton & Abrolhos,Geraldton,Batavia Coast Dive & Watersports,https://bataviacoastdive.com.au/,info@bcda.com.au,"148 Chapman Road, Geraldton WA 6530, Australia",True,True,https://bataviacoastdive.com.au/contact-us | https://www.padi.com/dive-center/australia/batavia-coast-dive-watersports/,https://www.google.com/maps/search/?api=1&query=Batavia%20Coast%20Dive%20%26%20Watersports%20Geraldton%20WA%20Australia,,,,,,,2025-08-17T21:36:05Z
5,Australia,Western Australia,Ningaloo – Coral Bay,Coral Bay,Ningaloo Reef Dive & Snorkel (Coral Bay),https://www.ningalooreefdive.com/,info@ningalooreefdive.com,"Shop 8, Coral Bay Arcade, 46–67 Robinson Street, Coral Bay WA 6701, Australia",True,True,https://www.ningalooreefdive.com/contact-us/ | https://www.padi.com/dive-center/australia/ningaloo-reef-dive/,https://www.google.com/maps/search/?api=1&query=Ningaloo%20Reef%20Dive%20Coral%20Bay%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Ningaloo%20Reef%20Dive%20Coral%20Bay%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g580525-d1763945-Reviews-Ningaloo_Reef_Dive-Coral_Bay_Western_Australia.html,,,2025-08-17T21:48:50Z
6,Australia,Western Australia,Ningaloo – Exmouth,Exmouth,Dive Ningaloo,https://www.diveningaloo.com.au/,info@diveningaloo.com.au,"6 Nimitz Street, Exmouth WA 6707, Australia",True,True,https://www.diveningaloo.com.au/contact-dive-ningaloo/ | https://www.padi.com/dive-center/australia/dive-ningaloo/,https://www.google.com/maps/search/?api=1&query=Dive%20Ningaloo%20Exmouth%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Dive%20Ningaloo%20Exmouth%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g488342-d10201605-Reviews-Dive_Ningaloo-Exmouth_Western_Australia.html,,,2025-08-17T21:48:50Z
7,Australia,Western Australia,Ningaloo – Exmouth,Exmouth,Exmouth Dive & Whalesharks Ningaloo,https://www.exmouthdiving.com.au/,bookings@exmouthdiving.com.au,"2 Pelias Street, Exmouth WA 6707, Australia",True,True,https://www.exmouthdiving.com.au/contact-us/ | https://www.padi.com/dive-center/australia/exmouth-dive-whalesharks-ningaloo-2/,https://www.google.com/maps/search/?api=1&query=Exmouth%20Dive%20%26%20Whalesharks%20Ningaloo%20Exmouth%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Exmouth%20Dive%20%26%20Whalesharks%20Ningaloo%20Exmouth%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g488342-d13127693-Reviews-Exmouth_Dive_Whalesharks_Ningaloo-Exmouth_Western_Australia.html,,,2025-08-17T21:48:50Z
