Country,Type,Name,Operator,Vessel,Website,Email,Business Address,Island/Region,City/Town,Embark Port,Disembark Port,Explicitly States Scuba,TripAdvisor_URL,Google_Maps_URL,TripAdvisor Rating,TripAdvisor Reviews,Google Rating,Google Reviews,Ratings_AsOf,Ratings_Source_Notes,Last Verified,Notes
Bahamas,Land-based,Brendal's Dive Center,,,https://www.brendal.com/,brendal@brendal.com,"Brendal’s Dive Center, Green Turtle Cay, Abaco, Bahamas",Abaco (Green Turtle Cay),New Plymouth / Green Turtle Cay,,,"Yes – diving, lessons & charters",https://www.tripadvisor.com/Attraction_Review-g147431-d628274-Reviews-Brendal_s_Dive_Center-Green_Turtle_Cay_Abaco_Islands_Out_Islands_Bahamas.html,https://www.google.com/maps/search/Brendal%27s+Dive+Center+Green+Turtle+Cay,,222.0,,,2025-08-19,TripAdvisor (regional) user reviews page,2025-08-19,
Bahamas,Land-based,Dive Abaco!,,,https://diveabaco.com/,dive@diveabaco.com,"The Conch Inn Marina, Marsh Harbour, Abaco, Bahamas",Abaco (Marsh Harbour),Marsh Harbour,,,Yes – scuba charters & training,https://www.tripadvisor.com/Attraction_Review-g676267-d697041-Reviews-Dive_Abaco-Marsh_Harbour_Abaco_Islands_Out_Islands_Bahamas.html,https://www.google.com/maps/search/Dive+Abaco+Marsh+Harbour,,211.0,,,2025-08-19,TripAdvisor (regional) user reviews page,2025-08-19,
Bahamas,Land-based,Dive Guana,,,https://www.diveguana.com/,diveguana@gmail.com,"Great Guana Cay, Abaco, Bahamas",Abaco (Great Guana Cay),Great Guana Cay,,,Yes – scuba & snorkel excursions,https://www.tripadvisor.com/Attraction_Review-g148423-d1052202-Reviews-Dive_Guana-Great_Guana_Cay_Abaco_Islands_Out_Islands_Bahamas.html,https://www.google.com/maps/search/Dive+Guana+Great+Guana+Cay,,,,,2025-08-19,,2025-08-19,
Bahamas,Land-based,Reef Oasis Dive Club – Viva Bahamas,,,https://www.reefoasisdiveclub.com/diving-bahamas/,viva@reefoasisdiveclub.com,"Viva Wyndham Fortuna Beach, Churchill Dr & Doubloon Rd, Freeport, Bahamas",Grand Bahama (Freeport),Freeport,,,Yes – scuba diving & PADI courses,https://www.tripadvisor.com/Attraction_Review-g147420-d15274331-Reviews-Reef_Oasis_Dive_Club-Freeport_Grand_Bahama_Island_Bahamas.html,https://www.google.com/maps/search/Reef+Oasis+Dive+Club+Freeport,,,,,2025-08-19,,2025-08-19,
Bahamas,Land-based,Riding Rock Resort (Guanahani Divers),,,https://ridingrock.com/,reservations@ridingrock.com,"Riding Rock Resort & Marina, San Salvador Island, Bahamas",San Salvador,Cockburn Town / San Salvador,,,Yes – onsite dive shop & packages,https://www.tripadvisor.com/Hotel_Review-g147433-d151485-Reviews-Riding_Rock_Resort_and_Marina-San_Salvador_Out_Islands_Bahamas.html,https://www.google.com/maps/search/Riding+Rock+Resort+San+Salvador,4.0,,,,2025-08-19,TripAdvisor (regional) hotel page for on‑site dive op,2025-08-19,
Bahamas,Land-based,Stuart Cove's Dive Bahamas,,,https://stuartcove.com/,info@stuartcove.com,"Coral Harbour Road, Coral Harbour, Nassau, Bahamas",New Providence (Nassau),Coral Harbour / Nassau,,,Yes – scuba & shark diving,https://en.tripadvisor.com.hk/Attraction_Review-g147415-d149422-Reviews-Stuart_Cove_s_Dive_Bahamas-New_Providence_Island_Bahamas.html,https://www.google.com/maps/search/Stuart+Cove%27s+Dive+Bahamas,,2524.0,,,2025-08-19,TripAdvisor (regional) user reviews page,2025-08-19,
Bahamas,Land-based,Sunn Odyssey Divers,,,https://sunnodysseydivers.com/,karen@sunnodysseydivers.com,"30 Beach Way Drive, Freeport, Grand Bahama, Bahamas",Grand Bahama (Freeport),Freeport,,,Yes – PADI 5★ dive facility,https://www.tripadvisor.com/Attraction_Review-g147420-d152054-Reviews-Sunn_Odyssey_Divers-Freeport_Grand_Bahama_Island_Bahamas.html,https://www.google.com/maps/search/Sunn+Odyssey+Divers+Freeport,4.5,470.0,,,2025-08-19,MapQuest page quoting TripAdvisor summary,2025-08-19,
Bahamas,Land-based,The Dive Shop Ltd (Cape Eleuthera),,,https://thedive.shop/,info@thedive.shop,"Cape Eleuthera, Rock Sound, Eleuthera, Bahamas",Eleuthera (Cape Eleuthera),Rock Sound / Deep Creek,,,"Yes – scuba, courses & excursions",,https://www.google.com/maps/search/The+Dive+Shop+Ltd+Cape+Eleuthera,,,,,2025-08-19,,2025-08-19,
Bahamas,Land-based,UNEXSO – Underwater Explorers Society,,,https://www.unexso.com/,linda@unexso.com,"1 Sea Horse Road, Port Lucaya, Freeport, Bahamas",Grand Bahama (Freeport),Freeport / Port Lucaya,,,"Yes – scuba, dolphins, shark dives",https://en.tripadvisor.com.hk/Attraction_Review-g147420-d479104-Reviews-Unexso-Freeport_Grand_Bahama_Island_Bahamas.html,https://www.google.com/maps/search/UNEXSO+Freeport,,1037.0,,,2025-08-19,TripAdvisor (regional) attraction page,2025-08-19,
Bahamas,Land-based,Valentines Dive Center,,,https://valentinesdivecenter.com/,valentinesdive@gmail.com,"Valentines Resort & Marina, Colebrooke St, Dunmore Town, Harbour Island, Bahamas",Eleuthera (Harbour Island),Dunmore Town (Harbour Island),,,"Yes – scuba, charters & training",https://www.tripadvisor.com/Attraction_Review-g148423-d190276-Reviews-Valentine_s_Dive_Center-Harbour_Island_Out_Islands_Bahamas.html,https://www.google.com/maps/search/Valentines+Dive+Center+Harbour+Island,4.5,239.0,,,2025-08-19,Wanderlog aggregator (pulls TA & Google),2025-08-19,
Bahamas,Liveaboard,Aqua Cat,All Star Liveaboards,M/V Aqua Cat,https://allstarliveaboards.com/aqua-cat-liveaboard-diving/,info@allstarliveaboards.com,"204 Hospital Dr NE, Fort Walton Beach, FL 32548, USA",Exuma Cays / Eleuthera (itinerary),"Reservations office: Fort Walton Beach, FL (USA)","Nassau, New Providence (Bahamas)","Nassau, New Providence (Bahamas)",Yes,https://www.tripadvisor.co.nz/Attraction_Review-g147417-d33350661-Reviews-All_Star_Aqua_Cat-Paradise_Island_New_Providence_Island_Bahamas.html,https://www.google.com/maps/search/Prince+George+Wharf+Nassau+Bahamas+Aqua+Cat,,,,,2025-08-20,TripAdvisor listing exists (All Star Aqua Cat); vessel-level Google listing not found.,2025-08-20,Premier Bahamas liveaboard; up to ~26 dives/week; Exuma Cays focus
Bahamas,Liveaboard,Bahamas Aggressor,Aggressor Adventures,M/V Bahamas Aggressor,https://www.aggressor.com/destination/Bahamas,bahamas@aggressor.com,"Aggressor Adventures, 209 Hudson Trace, Augusta, GA 30907, USA",Exuma Cays / Southwest Eleuthera; West End & Tiger Beach (seasonal),"Corporate HQ: Augusta, GA (USA)",Nassau (Exuma itinerary) • Freeport/West End (Tiger Beach itinerary),Nassau • Freeport/West End (per itinerary),Yes,https://en.tripadvisor.com.hk/Attraction_Review-g147416-d12221873-Reviews-Bahamas_Aggressor-Nassau_New_Providence_Island_Bahamas.html,https://www.google.com/maps/search/Bay+Street+Marina+Nassau+Bahamas,,21.0,,,2025-08-20,TripAdvisor page shows 21 reviews; star value not captured in fetch.,2025-08-20,Runs Exuma Cays & Tiger Beach itineraries
Bahamas,Liveaboard,Bahamas Aggressor II,Aggressor Adventures,M/V Bahamas Aggressor II,https://adventuretravel.aggressor.com/2025/03/06/experience-exuma-cays-tiger-beach-with-the-new-bahamas-aggressor-ii/,bahamas@aggressor.com,"Aggressor Adventures, 209 Hudson Trace, Augusta, GA 30907, USA",Exuma Cays (initial) • Tiger Beach added 2026,"Corporate HQ: Augusta, GA (USA)",Nassau (Exuma itinerary),Nassau (Exuma itinerary),Yes,https://www.tripadvisor.com/Search?q=Bahamas%20Aggressor%20II,https://www.google.com/maps/search/Nassau+Bahamas+Cruise+Port,,,,,2025-08-20,New vessel (May 2025); dedicated TA/Google listings limited at time of pass.,2025-08-20,20 guests; maiden voyage May 2025; adds Tiger Beach route from 2026
Bahamas,Liveaboard,Blackbeard’s – Morning Star,All Star Liveaboards (Blackbeard’s Cruises),S/V Morning Star,https://allstarliveaboards.com/blackbeards-liveaboard-diving/,info@allstarliveaboards.com,"204 Hospital Dr NE, Fort Walton Beach, FL 32548, USA",Exuma Cays (itinerary),"Reservations office: Fort Walton Beach, FL (USA)","Nassau Harbour Club Marina, East Bay St, Nassau (Bahamas)","Nassau Harbour Club Marina, East Bay St, Nassau (Bahamas)",Yes,https://www.tripadvisor.com/Search?q=Blackbeard%27s%20Morning%20Star%20Nassau,https://www.google.com/maps/search/Nassau+Harbour+Club+Marina+East+Bay+Street+Nassau,,,,,2025-08-20,Morning Star is covered under Blackbeard’s Cruises; dedicated TA page not found in fetch; use search link.,2025-08-20,Budget-friendly liveaboard; ~6 nights; up to ~19 dives
Bahamas,Liveaboard,Blackbeard’s – Sea Explorer,All Star Liveaboards (Blackbeard’s Cruises),S/V Sea Explorer,https://allstarliveaboards.com/blackbeards-liveaboard-diving/,info@allstarliveaboards.com,"204 Hospital Dr NE, Fort Walton Beach, FL 32548, USA",Exuma Cays (itinerary),"Reservations office: Fort Walton Beach, FL (USA)","Nassau Harbour Club Marina, East Bay St, Nassau (Bahamas)","Nassau Harbour Club Marina, East Bay St, Nassau (Bahamas)",Yes,https://www.tripadvisor.in/Attraction_Review-g147416-d26223059-Reviews-Blackbeard_s_Sea_Explorer-Nassau_New_Providence_Island_Bahamas.html,https://www.google.com/maps/search/Nassau+Harbour+Club+Marina+East+Bay+Street+Nassau,,,,,2025-08-20,Dedicated TA page exists for Sea Explorer; counts not visible via fetch; fill on next pass if needed.,2025-08-20,Sister sailboat to Morning Star
