Country,Type,Name,Operator,Vessel,Website,Email,Business Address,Island/Region,City/Town,Embark Port,Disembark Port,Explicitly States Scuba,TripAdvisor_URL,Google_Maps_URL,TripAdvisor Rating,TripAdvisor Reviews,Google Rating,Google Reviews,Ratings_AsOf,Ratings_Source_Notes,Last Verified,Notes
Belize,Land-based,Amigos Del Mar,,,https://www.amigosdivebelize.com/,reservations@amigosdivebelize.com,"Beachfront Dock, San Pedro, Ambergris Caye, Belize",,San Pedro,,,Yes,https://www.tripadvisor.com/Attraction_Review-g291962-d615064-Reviews-Amigos_Del_Mar_Dive_Shop-San_Pedro_Ambergris_Caye_Belize_Cayes.html,https://maps.google.com/?q=Amigos%20Del%20Mar%20San%20Pedro%20Belize,,,4.6,,2025-08-19,,,SSI/SDI; Blue Hole operator
Belize,Land-based,Belize Pro Dive Center,,,https://belizeprodivecenter.com/,belizeprodive@gmail.com,"Mar de Tumbo Area, Beachfront, San Pedro, Ambergris Caye, Belize",,San Pedro,,,Yes,https://www.tripadvisor.com/Attraction_Review-g291962-d1793651-Reviews-Belize_Pro_Dive_Center-San_Pedro_Ambergris_Caye_Belize_Cayes.html,https://maps.google.com/?q=Belize%20Pro%20Dive%20Center%20San%20Pedro,,,4.7,,2025-08-19,,,PADI 5-Star
Belize,Land-based,Belize Underwater,,,https://www.belizeunderwater.com/,info@belizeunderwater.com,"Hopkins, Stann Creek District, Belize",,Hopkins,,,Yes,https://www.tripadvisor.com/Attraction_Review-g635532-d3835526-Reviews-Belize_Underwater-Hopkins_Stann_Creek.html,https://maps.google.com/?q=Belize%20Underwater%20Hopkins,,,,,2025-08-19,,,PADI 5-Star
Belize,Land-based,Blackbird Caye Resort Dive Center,,,https://www.blackbirdresort.com/,info@blackbirdresort.com,"Blackbird Caye, Turneffe Atoll (Mail: 3 Eyre St., Belize City)",,Turneffe Atoll,,,Yes,https://www.tripadvisor.com/Hotel_Review-g292018-d308607-Reviews-Blackbird_Caye_Resort-Turneffe_Island_Belize_Cayes.html,https://maps.google.com/?q=Blackbird%20Caye%20Resort%20Belize,,,,,2025-08-19,,,PADI 5-Star resort
Belize,Land-based,Blue Wave Divers,,,https://www.bluewavedivers.bz/,bluewavediversbz@gmail.com,"Playa Asuncion, Caye Caulker, Belize",,Caye Caulker,,,Yes,https://www.tripadvisor.com/Attraction_Review-g291963-d2692226-Reviews-Blue_Wave_Divers-Caye_Caulker_Belize_Cayes.html,https://maps.google.com/?q=Blue%20Wave%20Divers%20Caye%20Caulker,,,,,2025-08-19,,,PADI diving & courses
Belize,Land-based,Chuck & Robbie’s,,,https://ambergriscayediving.com/,shop@ambergriscayediving.com,"San Pedro, Ambergris Caye, Belize",,San Pedro,,,Yes,https://www.tripadvisor.com/Attraction_Review-g291962-d654015-Reviews-Chuck_and_Robbie_s-San_Pedro_Ambergris_Caye_Belize_Cayes.html,https://maps.google.com/?q=Chuck%20%26%20Robbie%27s%20San%20Pedro,,,,,2025-08-19,,,PADI/SSI instruction
Belize,Land-based,Ecologic Divers,,,https://ecologicdivers.com/,info@ecologicdivers.com,"Beach Front, San Pedro, Ambergris Caye, Belize",,San Pedro,,,Yes,https://www.tripadvisor.com/Attraction_Review-g291962-d1236496-Reviews-Ecologic_Divers-San_Pedro_Ambergris_Caye_Belize_Cayes.html,https://maps.google.com/?q=Ecologic%20Divers%20San%20Pedro,,,,,2025-08-19,,,PADI 5-Star
Belize,Land-based,Elite Adventures Belize,,,https://www.eliteadventuresbelize.com/,contact@eliteadventuresbelize.com,"1/2 Mile North of the bridge, San Pedro, Ambergris Caye, Belize",,San Pedro,,,Yes,,https://maps.google.com/?q=Elite%20Adventures%20Belize%20San%20Pedro,,,,,2025-08-19,,,Full-service dive facility
Belize,Land-based,Frenchie’s Diving Services,,,https://frenchiesdivingbelize.com/,info@frenchiesdivingbelize.com,"Avenida Hicaco, Caye Caulker, Belize",,Caye Caulker,,,Yes,https://www.tripadvisor.com/Attraction_Review-g291963-d523361-Reviews-Frenchie_s_Diving_Services-Caye_Caulker_Belize_Cayes.html,https://maps.google.com/?q=Frenchie%27s%20Diving%20Caye%20Caulker,,,,,2025-08-19,,,Blue Hole/Lighthouse trips
Belize,Land-based,Go Sea Tours (Scuba),,,https://www.goseabelize.com/,goseabelize@gmail.com,"Near Municipal Pier, Placencia Peninsula, Belize",,Placencia,,,Yes,https://www.tripadvisor.com/Attraction_Review-g291977-d7598897-Reviews-Go_Sea_Tours-Placencia_Stann_Creek.html,https://maps.google.com/?q=Go%20Sea%20Tours%20Placencia,,,,,2025-08-19,,,Scuba tours & certs
