Country,Type,Name,Operator,Vessel,Website,Email,Business Address,Island/Region,City/Town,Embark Port,Disembark Port,Explicitly States Scuba,TripAdvisor_URL,Google_Maps_URL,TripAdvisor Rating,TripAdvisor Reviews,Google Rating,Google Reviews,Ratings_AsOf,Ratings_Source_Notes,Last Verified,Notes,TripAdvisor_Reviews_Count,TripAdvisor_Star_Rating,Google_Rating,Google_Reviews_Count,Ratings_Last_Checked
Cayman Islands,Land-based,Brac Scuba Shack,,,https://www.bracscubashack.com/,info@bracscubashack.com,"17 Channel Road, Cayman Brac KY2-2001, Cayman Islands",Cayman Brac,,,,Yes,https://en.tripadvisor.com.hk/Attraction_Review-g147370-d3671627-Reviews-Brac_Scuba_Shack-Cayman_Brac_Cayman_Islands.html,https://www.google.com/maps/search/Brac%20Scuba%20Shack%20Cayman%20Brac,,334.0,,,2025-08-20,TripAdvisor listing shows ~334 reviews,,,,,,,
Cayman Islands,Land-based,Cayman Turtle Divers,,,https://www.caymanturtledivers.com/,info@caymanturtledivers.com,"1428A West Bay Road, Trafalgar Place #C2, KY1-1207, Cayman Islands",Grand Cayman,,,,Yes,https://en.tripadvisor.com.hk/Attraction_Review-g147367-d1886457-Reviews-Cayman_Turtle_Divers-Seven_Mile_Beach_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Cayman%20Turtle%20Divers%20Grand%20Cayman,,1656.0,4.9,79.0,2025-08-19,Count and rating from MapQuest business panel.,,,,,5.0,1635,2025-08-20
Cayman Islands,Land-based,DNS Diving,,,https://www.dnsdiving.com/,info@dnsdiving.com,"269 Treasure Lane, Seven Mile Beach, Grand Cayman KY1-1203, Cayman Islands",Grand Cayman,,,,Yes,https://www.tripadvisor.in/Attraction_Review-g147367-d1863339-Reviews-DNS_Diving-Seven_Mile_Beach_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/DNS%20Diving%20Grand%20Cayman,,587.0,,,2025-08-20,Count and rating from MapQuest business panel.,,,,,5.0,582,2025-08-20
Cayman Islands,Land-based,Deep Blue Divers,,,https://deepbluediverscayman.com/,info@deepbluediverscayman.com,"51 Fort Street, 2nd Floor, George Town, Cayman Islands",Grand Cayman,,,,Yes,https://www.tripadvisor.com/Attraction_Review-g147365-d1759155-Reviews-Deep_Blue_Divers-Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Deep%20Blue%20Divers%20Grand%20Cayman,,,,,2025-08-20,TA count via MapQuest panel; direct TA page linked.,,,711,,,,2025-08-20
Cayman Islands,Land-based,Divetech,,,https://www.divetech.com/,frontdesk@divetech.com,"571 North West Point Road, West Bay KY1-1303, Cayman Islands",Grand Cayman,,,,Yes,https://www.tripadvisor.ie/Attraction_Review-g1006573-d269299-Reviews-Divetech-West_Bay_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Divetech%20Grand%20Cayman,,1054.0,4.9,96.0,2025-08-19,"Wanderlog: Divetech Grand Cayman (Google 4.9, 96) https://wanderlog.com/place/details/5950061/divetech-grand-cayman; Google via Wanderlog place page",,,1054.0,,4.9,,2025-08-20
Cayman Islands,Land-based,Don Foster's Dive Cayman,,,https://www.donfosters.com/,dfdops@donfosters.com,"218 South Church Street, George Town KY1-1206, Cayman Islands",Grand Cayman,,,,Yes,https://en.tripadvisor.com.hk/Attraction_Review-g147366-d1750667-Reviews-Don_Foster_s_Dive_Cayman-George_Town_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Don%20Foster%27s%20Dive%20Cayman,,,4.8,171.0,2025-08-20,"Wanderlog: Don Foster's Dive Cayman (Google 4.8, 171) https://wanderlog.com/place/details/8408515/don-fosters-dive-cayman",,,,,,,
Cayman Islands,Land-based,Eden Rock Diving Center,,,https://edenrockdivingcenter.com/,edenrockstaff@gmail.com,"124 South Church Street, George Town KY1-1110, Cayman Islands",Grand Cayman,,,,Yes,https://en.tripadvisor.com.hk/Attraction_Review-g147366-d149694-Reviews-Eden_Rock_Diving_Center-George_Town_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Eden%20Rock%20Diving%20Center%20George%20Town%20Grand%20Cayman,,,4.6,235.0,2025-08-20,"Wanderlog: Eden Rock Diving Center (Google 4.6, 235) https://wanderlog.com/place/details/4546313/eden-rock-diving-center-ltd",,,557.0,,,,2025-08-20
Cayman Islands,Land-based,Epic Divers,,,https://epicdivers.com/,info@epicdivers.com,"Cayman Islands Yacht Club, Grand Cayman, Cayman Islands (mail: PO Box 238, KY1-1104)",Grand Cayman,,,,Yes,https://www.tripadvisor.ie/Attraction_Review-g147365-d3452142-Reviews-Epic_Divers-Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Epic%20Divers%20Grand%20Cayman,,,,,2025-08-20,Review count from MapQuest nearby panel; platform unspecified.,,,,,,451,2025-08-20
Cayman Islands,Land-based,Indigo Divers,,,https://www.indigodivers.com/,chris@indigodivers.com,"25 North West Point Road, Grand Cayman, Cayman Islands",Grand Cayman,,,,Yes,https://www.tripadvisor.in/Attraction_Review-g147367-d1469590-Reviews-Indigo_Divers-Seven_Mile_Beach_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Indigo%20Divers%20Grand%20Cayman,,,5.0,56.0,2025-08-20,"Wanderlog: Indigo Divers Grand Cayman (Google 5.0, 56) https://wanderlog.com/place/details/4944385/indigo-divers-grand-cayman",,,,,,,
Cayman Islands,Land-based,Just Dive Cayman,,,https://www.justdivecayman.com/,info@justdivecayman.com,"George Town waterfront (shop pickup/dock) – 245 North Church Street area, George Town, Cayman Islands",Grand Cayman,,,,Yes,https://www.tripadvisor.ie/Attraction_Review-g147365-d3699869-Reviews-Lobster_Pot_Dive_Center-Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Just%20Dive%20Cayman,,,,,2025-08-20,TripAdvisor shows Just Dive under Lobster Pot Dive Center,,,,,,,
Cayman Islands,Land-based,Little Cayman Divers,,,https://www.littlecaymandivers.com/,hello@littlecaymandivers.com,"P.O. Box 42, Little Cayman KY3-2501, Cayman Islands",Little Cayman,,,,Yes,https://www.tripadvisor.com.sg/Attraction_Review-g147368-d6415563-Reviews-Little_Cayman_Divers-Little_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Little%20Cayman%20Divers,,,5.0,24.0,2025-08-20,"Wanderlog: Little Cayman Divers (Google 5.0, 24) https://wanderlog.com/place/details/12104660/little-cayman-divers",,,,,,,
Cayman Islands,Land-based,Living The Dream Divers,,,https://www.livingthedreamdivers.com/,dive@livingthedreamdivers.com,"245 North Church Street, George Town KY1-1206, Cayman Islands",Grand Cayman,,,,Yes,https://www.tripadvisor.ca/Attraction_Review-g147367-d1748322-Reviews-Living_The_Dream_Divers-Seven_Mile_Beach_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Living%20The%20Dream%20Divers%20Grand%20Cayman,,2058.0,4.9,254.0,2025-08-20,"Wanderlog: Best Diving Spots list (Google 4.9, 254) https://wanderlog.com/list/geoCategory/1549869/best-diving-spots-in-cayman-islands",,,2057.0,,,,2025-08-20
Cayman Islands,Land-based,Ocean Frontiers,,,https://www.oceanfrontiers.com/,info@oceanfrontiers.com,"344C Austin Conolly Dr, East End KY1-1601, Cayman Islands",Grand Cayman,,,,Yes,https://en.tripadvisor.com.hk/Attraction_Review-g1722406-d523714-Reviews-Ocean_Frontiers-East_End_Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Ocean%20Frontiers%20East%20End%20Grand%20Cayman,,1058.0,4.9,269.0,2025-08-19,"Wanderlog: Ocean Frontiers Dive Shop (Google 4.9, 269) https://wanderlog.com/place/details/630865/ocean-frontiers-dive-shop; Google via Wanderlog place page",,,1064.0,,4.9,263.0,2025-08-20
Cayman Islands,Land-based,Off The Wall Divers,,,https://offthewalldiverscayman.com/,fish@candw.ky,"Old Atlantis Bldg, 37 Seafarers Way (South Church St.), George Town KY1-1201, Cayman Islands",Grand Cayman,,,,Yes,https://www.tripadvisor.in/Attraction_Review-g147365-d1626539-Reviews-Off_the_Wall_Divers-Grand_Cayman_Cayman_Islands.html,https://www.google.com/maps/search/Off%20The%20Wall%20Divers%20Grand%20Cayman,,,5.0,21.0,2025-08-20,Review count from MapQuest nearby panel; platform unspecified.,,,,,,380,2025-08-20
