Country,Type,Name,Operator,Vessel,Website,Email,Business Address,Island/Region,City/Town,Embark Port,Disembark Port,Explicitly States Scuba,TripAdvisor_URL,Google_Maps_URL,TripAdvisor Rating,TripAdvisor Reviews,Google Rating,Google Reviews,Ratings_AsOf,Ratings_Source_Notes,Last Verified,Notes,Google_Rating,Google_Reviews,TripAdvisor_Bubbles,TripAdvisor_Reviews,Ratings_Verified_On
Colombia,Land-based,Banda Dive,,,https://bandadive.com/,info@bandadive.com,"Edificio Bay Point, Local 9, San Andrés Islas",,,,,Yes,,,,,,,,,,,4.8,225.0,,,2025-08-19
Colombia,Land-based,Blue Life Centro de Buceo,,,https://bluelifedive.com/,info@bluelifedive.com,"Av. Newball Local L-112, Hotel Sunrise Beach, San Andrés",,,,,Yes,,,,,,,,,,,,,,414.0,2025-08-19
Colombia,Land-based,Cartagena Divers,,,http://www.cartagenadivers.com/,reservas@cartagenadivers.com,"Carrera 20A #24A-16, Barrio Manga, Cartagena",,,,,Yes,,,,,,,,,,,,,,276.0,2025-08-19
Colombia,Land-based,Divers Team,,,https://www.diversteam.net/,nelson@diversteam.net,"Avenida Colombia 1-19, Local 1 (Hotel Decameron Aquarium), San Andrés",,,,,Yes,,,,,,,,,,,,,,,
Colombia,Land-based,Diving Planet,,,http://www.divingplanet.org/,info@divingplanet.org,"Calle 39 #8-24, Plaza de San Diego, Cartagena",,,,,Yes,,,,,,,,,,,,,,,
Colombia,Land-based,Felipe Diving Center,,,https://www.felipedivingshop.com/,info@felipediving.com,"Cabañas El Recreo, Agua Dulce, Providencia",,,,,Yes,,,,,,,,,,,,,,220.0,2025-08-19
Colombia,Land-based,Felo Divers,,,https://felodivers.com/,hola@felodivers.com,"880001 Polly Hill, N 10 7, San Andrés Islas",,,,,Yes,,,,,,,,,,,,,,,
Colombia,Land-based,Karibik Diver,,,https://www.karibik-diver.com/,center@karibik-diver.com,"Avenida Newball 1-248, Edificio Galeón, San Andrés",,,,,Yes,,,,,,,,,,,,,,142.0,2025-08-19
Colombia,Land-based,Oceano Scuba Dive Center,,,http://www.oceanoscuba.com.co/,oceano@oceanoscuba.com.co,"Carrera 2 #17-46 Esquina, Taganga, Santa Marta",,,,,Yes,,,,,,,,,,,,,,565.0,2025-08-19
Colombia,Land-based,Paraiso Dive Cartagena,,,https://www.paraisodive.org/,paraisodivecartagena@gmail.com,"Blue Apple Beach Hotel, Punta El Mamón, Bocachica, Cartagena",,,,,Yes,,,,,,,,,,,,,,300.0,2025-08-19
Colombia,Land-based,Poseidon Dive Center,,,https://poseidondivecenter.com/,info@poseidondivecenter.com,"Calle 18 #1-69, Taganga, Santa Marta",,,,,Yes,,,,,,,,,,,,,,,
Colombia,Land-based,San Andres Divers,,,http://www.sanandresdivers.com/,info@sanandresdivers.com,"Av Circunvalar Km 9, Vía Cove, San Andrés",,,,,Yes,,,,,,,,,,,,,,,
Colombia,Land-based,Sirius Dive Shop,,,https://www.siriusdiveshop.com/,siriusdiveshop@hotmail.com,"Bahía Sur Oeste (South West Bay), Hotel Sirius, Providencia",,,,,Yes,,,,,,,,,,,,,,,
Colombia,Land-based,The Dive Shop Old Providence,,,https://www.thediveshopoldprovidence.com/,info@thediveshopoldprovidence.com,"Bahía de Manzanillo, Sector Casa Baja, Providencia",,,,,Yes,,,,,,,,,,,5.0,34.0,,,2025-08-19
Colombia,Liveaboard,Ferox (Malpelo / Gorgona),Colombia Dive Adventures SAS,M/V Ferox,https://www.colombiadiveadventures.com/ferox-vivax-liveaboards/,info@colombiadiveadventures.com,"Carretera 90 Km 23, Urb. Villa Tanga, Casa 33, Santa Marta, Magdalena, Colombia",Malpelo Island / Gorgona Island (Pacific),Santa Marta (HQ) / Buenaventura (Embark),"Buenaventura, Valle del Cauca (via Cali ground transfer)","Buenaventura, Valle del Cauca",Yes,https://www.tripadvisor.com/Search?q=Colombia+Dive+Adventures+Ferox+Malpelo,https://www.google.com/maps/search/Colombia+Dive+Adventures+Santa+Marta,,,,,2025-08-20,Embark logistics via Bluewater; email via CDA socials; HQ address via CDA site footer; exclusive Malpelo access per PADI Travel ‘Ferox’.,2025-08-20,Malpelo permits restrict entry; only one liveaboard inside at a time.,,,,,
Colombia,Liveaboard,Vivax (Malpelo / Gorgona),Colombia Dive Adventures SAS,M/V Vivax,https://www.colombiadiveadventures.com/ferox-vivax-liveaboards/,info@colombiadiveadventures.com,"Carretera 90 Km 23, Urb. Villa Tanga, Casa 33, Santa Marta, Magdalena, Colombia",Malpelo Island / Gorgona Island (Pacific),Santa Marta (HQ) / Buenaventura (Embark),"Buenaventura, Valle del Cauca (via Cali ground transfer)","Buenaventura, Valle del Cauca",Yes,https://www.tripadvisor.com/Search?q=Colombia+Dive+Adventures+Vivax+Malpelo,https://www.google.com/maps/search/Colombia+Dive+Adventures+Santa+Marta,,,,,2025-08-20,Vivax announced by CDA; same contact as Ferox; HQ address via CDA site footer.,2025-08-20,Sister ship to Ferox; capacity ~12; operates Malpelo/Gorgona.,,,,,
