Country,Shop,TripAdvisor_Rating,TripAdvisor_Reviews,TripAdvisor_Source,Google_Rating,Google_Reviews,Google_Source
Curaçao,Ocean Encounters,4.5,970.0,https://www.curacao.com/en/activity/ocean-encounters,4.8,223.0,https://www.divecuracao.info/travel-locations/ocean-encounters/
Curaçao,The Dive Bus,5.0,1241.0,https://www.curacao.com/en/activity/the-dive-bus,5.0,42.0,https://www.divecuracao.info/travel-locations/the-dive-bus/
Curaçao,Scubacao Diving Adventures,5.0,676.0,https://www.curacao.com/en/activity/scubacao-diving-adventures,,,
Curaçao,Goby Divers,5.0,156.0,https://www.curacao.com/en/activity/goby-divers,4.6,83.0,https://wanderlog.com/place/details/3824397/dive-centre-cura%C3%A7ao-goby-divers-padi-ssi--iantd
Curaçao,Go West Diving,4.5,425.0,https://www.curacao.com/en/activity/go-west-diving,4.6,187.0,https://wanderlog.com/place/details/640937/go-west-diving-curacao
Curaçao,Caribbean Sea Sports,,,,,,https://www.caribseasports.com/
Curaçao,Blue Bay Dive & Watersports,5.0,134.0,https://www.curacao.com/en/activity/blue-bay-dive-watersports,4.4,61.0,https://wanderlog.com/place/details/2514712/blue-bay-dive--watersports-curacao
Curaçao,CURious2DIVE,5.0,695.0,https://www.curacao.com/en/activity/curious-2-dive,4.8,173.0,https://wanderlog.com/place/details/4649026/curious-2-dive
Curaçao,Atlantis Diving,,,,,,https://www.atlantisdiving.com/
Curaçao,Dive Center Pietermaai (Scuba Lodge),5.0,646.0,https://www.curacao.com/en/activity/scuba-lodge-dive-center-pietermaai,5.0,42.0,https://www.divecuracao.info/dive/dive-shops-curacao/dive-center-pietermaai/
Curaçao,Dive Center Scuba Do (Jan Thiel),4.5,329.0,https://www.curacao.com/en/activity/dive-center-scuba-do,4.9,224.0,https://wanderlog.com/place/details/11383861/dive-center-scuba-do-curacao
Curaçao,B Diving & Watersports (Cas Abao),,385.0,https://www.curacao.com/en/activity/b-diving-watersports,,,https://www.bdivingcuracao.com/
