country,state_territory,region,city_area,shop_name,website,email,address,explicitly_states_scuba,meets_final4,source_urls,google_maps_url,google_rating,google_reviews_count,google_reviews_link,tripadvisor_rating,tripadvisor_reviews_count,tripadvisor_url,last_review_check_utc,TripAdvisor_url,Google_reviews_url,TripAdvisor_exact
Egypt,Red Sea Governorate,Deep South — Hamata & Wadi Lahami,Lahami Bay (Berenice),Barakuda Diving Center – Lahami Bay,https://barakuda-diving.com/,lahamibay@barakuda-diving.com,"Lahami Bay Beach Resort & Gardens, Marsa Alam–Berenice Rd, South Red Sea, Egypt",True,True,https://www.padi.com/dive-center/egypt/barakuda-lahami-bay/ | https://barakuda-diving.com/contact-us/?lang=en,https://www.google.com/maps/search/?api=1&query=Barakuda%20Diving%20Center%20%E2%80%93%20Lahami%20Bay%20Lahami%20Bay%20%28Berenice%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Barakuda%20Diving%20Center%20%E2%80%93%20Lahami%20Bay%20Lahami%20Bay%20%28Berenice%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Barakuda%20Diving%20Center%20%E2%80%93%20Lahami%20Bay%20Lahami%20Bay%20%28Berenice%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,Deep South — Hamata & Wadi Lahami,Wadi Lahami Village (Hamata),Red Sea Diving Safari – Wadi Lahami Village,https://www.redsea-divingsafari.com/ContactUs,info@redsea-divingsafari.com,"Wadi Lahami Village, Halaib We Shellatin Rd, 120 km S of Marsa Alam, Hamata, Red Sea, Egypt",True,True,https://www.padi.com/dive-center/egypt/red-sea-diving-safari-wadi-lahami-village-2/ | https://www.redsea-divingsafari.com/ContactUs,https://www.google.com/maps/search/?api=1&query=Red%20Sea%20Diving%20Safari%20%E2%80%93%20Wadi%20Lahami%20Village%20Wadi%20Lahami%20Village%20%28Hamata%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Red%20Sea%20Diving%20Safari%20%E2%80%93%20Wadi%20Lahami%20Village%20Wadi%20Lahami%20Village%20%28Hamata%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Red%20Sea%20Diving%20Safari%20%E2%80%93%20Wadi%20Lahami%20Village%20Wadi%20Lahami%20Village%20%28Hamata%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,Deep South — Hamata & Wadi Lahami,Wadi Lahmi Azur (Hamata),ORCA Dive Club – Wadi Lahmy Azur,https://www.orca-diveclubs.com/en/wadi-lahmy-en/,info@orca-diveclubs.com,"Wadi Lahmy Azur Resort, Hamata/Berenice, Red Sea, Egypt",True,True,https://www.orca-diveclubs.com/en/wadi-lahmy-en/,https://www.google.com/maps/search/?api=1&query=ORCA%20Dive%20Club%20%E2%80%93%20Wadi%20Lahmy%20Azur%20Wadi%20Lahmi%20Azur%20%28Hamata%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=ORCA%20Dive%20Club%20%E2%80%93%20Wadi%20Lahmy%20Azur%20Wadi%20Lahmi%20Azur%20%28Hamata%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=ORCA%20Dive%20Club%20%E2%80%93%20Wadi%20Lahmy%20Azur%20Wadi%20Lahmi%20Azur%20%28Hamata%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,Deep South — Wadi el Gemal (Shams Alam),Shams Alam (Wadi Gimal),Wadi Gimal Diving Center – Shams Diving Centers,https://shamsdivingcenters.com/,wadigimal@shamsdivingcenters.com,"Shams Alam Beach Resort, Marsa Alam, Red Sea, Egypt",True,True,https://www.padi.com/dive-center/egypt/wadi-gimal/ | https://shamsdivingcenters.com/,https://www.google.com/maps/search/?api=1&query=Wadi%20Gimal%20Diving%20Center%20%E2%80%93%20Shams%20Diving%20Centers%20Shams%20Alam%20%28Wadi%20Gimal%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Wadi%20Gimal%20Diving%20Center%20%E2%80%93%20Shams%20Diving%20Centers%20Shams%20Alam%20%28Wadi%20Gimal%29%20Red%20Sea%20Governorate%20Egypt,,47.0,https://www.tripadvisor.co.nz/ShowUserReviews-g311425-d8307939-Wadi_Gimal_Diving_Center-Marsa_Alam_Red_Sea_and_Sinai.html,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,El Quseir,Roots Red Sea (14km N of El Quseir),Pharaoh Dive Club (Roots Red Sea),https://pharaohdiveclub.com/,info@rootsredsea.com,"Roots Red Sea, Safaga–El Quseir Road, El Quseir, Red Sea, Egypt",True,True,https://scubaverse.com/egypt/dive-centre/pharaoh-dive-club-roots-red-sea/ | https://pharaohdiveclub.com/,https://www.google.com/maps/search/?api=1&query=Pharaoh%20Dive%20Club%20%28Roots%20Red%20Sea%29%20Roots%20Red%20Sea%20%2814km%20N%20of%20El%20Quseir%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Pharaoh%20Dive%20Club%20%28Roots%20Red%20Sea%29%20Roots%20Red%20Sea%20%2814km%20N%20of%20El%20Quseir%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Pharaoh%20Dive%20Club%20%28Roots%20Red%20Sea%29%20Roots%20Red%20Sea%20%2814km%20N%20of%20El%20Quseir%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,El Quseir,Utopia Beach (El Quseir South),Euro-Divers – Utopia Beach Club,https://www.euro-divers.com/scuba-diving-egypt/red-sea-utopia-beach-club/,edutopia@euro-divers.com,"Utopia Beach Club, K22 Marsa Alam Road, El Quseir, Red Sea, Egypt",True,True,https://www.euro-divers.com/scuba-diving-egypt/red-sea-utopia-beach-club/ | https://utopiabeachhotels.com/en/contact-us/,https://www.google.com/maps/search/?api=1&query=Euro-Divers%20%E2%80%93%20Utopia%20Beach%20Club%20Utopia%20Beach%20%28El%20Quseir%20South%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Euro-Divers%20%E2%80%93%20Utopia%20Beach%20Club%20Utopia%20Beach%20%28El%20Quseir%20South%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Euro-Divers%20%E2%80%93%20Utopia%20Beach%20Club%20Utopia%20Beach%20%28El%20Quseir%20South%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,Hurghada & El Gouna,Hurghada (El Bahr / Corniche),Blue Paradise Diving Center (Hurghada),https://www.blueparadise.be/,info@blueparadise.be,"14 El Korneesh (El Bahr) Street, Hurghada, Red Sea, Egypt",True,True,https://www.blueparadise.be/contact/ | https://dive.site/explore/dive-centers/blue-paradise-diving-center-gJNr,https://www.google.com/maps/search/?api=1&query=Blue%20Paradise%20Diving%20Center%20%28Hurghada%29%20Hurghada%20%28El%20Bahr%20/%20Corniche%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Blue%20Paradise%20Diving%20Center%20%28Hurghada%29%20Hurghada%20%28El%20Bahr%20/%20Corniche%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Blue%20Paradise%20Diving%20Center%20%28Hurghada%29%20Hurghada%20%28El%20Bahr%20/%20Corniche%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,Hurghada & El Gouna,Hurghada New Marina,Emperor Divers (Hurghada),https://www.emperordivers.com/hurghada_center.php,info.hurghada@emperordivers.com,"Flat 102, Building C3, New Marina, Hurghada, Red Sea, Egypt",True,True,https://www.padi.com/dive-center/egypt/emperor-divers-red-sea-fleet/ | https://www.emperordivers.com/contact/,https://www.google.com/maps/search/?api=1&query=Emperor%20Divers%20%28Hurghada%29%20Hurghada%20New%20Marina%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Emperor%20Divers%20%28Hurghada%29%20Hurghada%20New%20Marina%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Emperor%20Divers%20%28Hurghada%29%20Hurghada%20New%20Marina%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,Hurghada — Red Sea (Liveaboard Fleet),Hurghada (Moon Valley Marina),Heaven Liveaboard – Heaven Saphir (Liveaboard),https://heaven-liveaboard.com/,info@heaven-liveaboard.com,"Moon Valley Marina, Hurghada, Red Sea, Egypt",True,True,https://heaven-liveaboard.com/contact/ | https://www.divesaphir.com/,https://www.google.com/maps/search/?api=1&query=Heaven%20Liveaboard%20%E2%80%93%20Heaven%20Saphir%20%28Liveaboard%29%20Hurghada%20%28Moon%20Valley%20Marina%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Heaven%20Liveaboard%20%E2%80%93%20Heaven%20Saphir%20%28Liveaboard%29%20Hurghada%20%28Moon%20Valley%20Marina%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Heaven%20Liveaboard%20%E2%80%93%20Heaven%20Saphir%20%28Liveaboard%29%20Hurghada%20%28Moon%20Valley%20Marina%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
Egypt,Red Sea Governorate,Hurghada — Red Sea (Liveaboard Fleet),Hurghada (Old Sheraton Rd),Seawolf Safari (Liveaboard),https://www.seawolf-safari.de/,info@seawolf-diving.de,"Old Sheraton Street, Sekalla, Hurghada, Red Sea, Egypt",True,True,https://www.seawolf-safari.de/contact-us | https://www.dnb.com/business-directory/company-profiles.seawolf_diving_safari.a73e56b1438c7a421a1304061bd7be24.html,https://www.google.com/maps/search/?api=1&query=Seawolf%20Safari%20%28Liveaboard%29%20Hurghada%20%28Old%20Sheraton%20Rd%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.google.com/maps/search/?api=1&query=Seawolf%20Safari%20%28Liveaboard%29%20Hurghada%20%28Old%20Sheraton%20Rd%29%20Red%20Sea%20Governorate%20Egypt,,,https://www.tripadvisor.com/Search?q=Seawolf%20Safari%20%28Liveaboard%29%20Hurghada%20%28Old%20Sheraton%20Rd%29%20Red%20Sea%20Governorate%20Egypt,2025-08-17T00:00:00Z,,https://www.google.com/maps/search/?api=1&query=+,False
