Country,Type,Name,Website,Email,Business Address,Region/Island,City/Town,Explicit_Scuba,TripAdvisor_URL,Google_Maps_URL,Notes,Verified_On,TA_Rating,TA_Reviews,Google_Rating,Google_Reviews,Ratings_AsOf,Rating_Notes
Fiji,Land,Beqa Adventure Divers,https://www.fijisharkdive.com/,adventuredivers@connect.com.fj,"Fairway Place, Pacific Harbour, Fiji",Viti Levu,Pacific Harbour,Yes,https://www.tripadvisor.com/Search?q=Beqa%20Adventure%20Divers%20Pacific%20Harbour,https://www.google.com/maps/search/?api=1&query=Beqa+Adventure+Divers+Pacific+Harbour+Fiji,Shark dive operator in Pacific Harbour,2025-08-20,,,4.8,245.0,2025-08-20,Google rating via aggregator snapshot; verify on Maps.
Fiji,Land,Aqua-Trek Beqa,https://www.aquatrek.com/,info@aquatrek.com,"Queens Hwy (at The Pearl), Pacific Harbour; Alt: 1 Atoll Place",Viti Levu,Pacific Harbour,Yes,https://www.tripadvisor.com/Search?q=Aqua-Trek%20Beqa%20Pacific%20Harbour,https://www.google.com/maps/search/?api=1&query=Aqua-Trek+Beqa+Pacific+Harbour+Fiji,Shark dive operator at The Pearl Resort,2025-08-20,4.6,446.0,,,2025-08-20,
Fiji,Land,Subsurface Fiji (Port Denarau/Mamanuca),https://fijidiving.com/,info@subsurfacefiji.com,"Port Denarau Marina, Denarau Island, Nadi, Fiji",Viti Levu / Mamanuca,Nadi / Denarau,Yes,https://www.tripadvisor.com/Search?q=Subsurface%20Fiji%20Denarau,https://www.google.com/maps/search/?api=1&query=Subsurface+Fiji+Port+Denarau,PADI 5-Star; day diving + resort ops,2025-08-20,,76.0,,,2025-08-20,
Fiji,Land,Whitetip Marine Adventures (Port Denarau),https://whitetipmarineadventures.com/,info@whitetipmarineadventures.com,"Port Denarau Marina (PO Box PD54), Nadi, Fiji",Viti Levu,Nadi / Denarau,Yes,https://www.tripadvisor.com/Search?q=Whitetip%20Marine%20Adventures%20Fiji,https://www.google.com/maps/search/?api=1&query=Whitetip+Marine+Adventures+Port+Denarau,Scuba day trips from Denarau,2025-08-20,,285.0,,,2025-08-20,
Fiji,Land,Diveaway Fiji (Coral Coast),https://www.diveawayfiji.com/,diveawayfiji1@gmail.com,"Fiji Hideaway Resort, Coral Coast, Korolevu, Fiji",Viti Levu,Korolevu (Coral Coast),Yes,https://www.tripadvisor.com/Search?q=Diveaway%20Fiji%20Coral%20Coast,https://www.google.com/maps/search/?api=1&query=Diveaway+Fiji+Hideaway+Resort,PADI 5-Star; Coral Coast operator,2025-08-20,,408.0,,,2025-08-20,
Fiji,Land,Waidroka Bay Resort (Dive Waidroka),https://www.waidroka.com/,reservations@waidroka.com,"PO Box 323, Pacific Harbour, Deuba, Fiji",Viti Levu,Deuba / Pacific Harbour,Yes,https://www.tripadvisor.com/Search?q=Waidroka%20Bay%20Resort%20diving,https://www.google.com/maps/search/?api=1&query=Waidroka+Bay+Resort+Fiji,Resort with in-house dive center; Beqa Lagoon & shark dives,2025-08-20,,,,,,
Fiji,Land,Ra Divers (Volivoli Beach Resort),https://volivoli.com/,res@volivoli.com,"Volivoli Road, Suncoast (Rakiraki), Fiji",Viti Levu (Suncoast),Rakiraki,Yes,https://www.tripadvisor.com/Attraction_Review-g297568-d3459188-Reviews-Diving_The_Bligh_Water_Vatu_I_Ra_with_Ra_Divers-Rakiraki_Viti_Levu.html,https://www.google.com/maps/search/?api=1&query=Volivoli+Beach+Resort+Ra+Divers,Bligh Water / Vatu-i-Ra specialists,2025-08-20,,42.0,,,2025-08-20,
Fiji,Land,Tokoriki Diving (Tokoriki Island Resort),https://www.tokorikidiving.com/,enquiries@tokorikidiving.com,"By the jetty at Tokoriki Island Resort, Tokoriki Island, Fiji",Mamanuca Islands,Tokoriki Island,Yes,https://www.tripadvisor.com/Search?q=Tokoriki%20Diving%20Fiji,https://www.google.com/maps/search/?api=1&query=Tokoriki+Island+Resort+Fiji,PADI 5-Star center at Tokoriki Island Resort,2025-08-20,,,,,,
Fiji,Land,Reef Safari (Shangri-La Yanuca Island),https://www.reefsafaridivingfiji.com/reef-safari-at-shangri-la,shangrila@reefsafari.com,"Shangri-La Yanuca Island, Coral Coast, Fiji",Viti Levu (Coral Coast),Yanuca Island / Sigatoka,Yes,https://www.tripadvisor.com/Search?q=Reef%20Safari%20Shangri-La%20Fiji,https://www.google.com/maps/search/?api=1&query=Shangri-La+Yanuca+Island+Fiji,Resort-operated dive center at Shangri-La,2025-08-20,,,,,,
Fiji,Land,Taveuni Dive (Taveuni Dive Resort),https://www.taveunidiveresort.com/,inquiry@taveunidiveresort.com,"PO Box 223, Waiyevo, Taveuni, Fiji",Taveuni,Waiyevo,Yes,https://www.tripadvisor.com/Attraction_Review-g297562-d2157389-Reviews-Taveuni_Dive-Taveuni_Island.html,https://www.google.com/maps/search/?api=1&query=Taveuni+Dive+Resort,Resort with dedicated dive operation,2025-08-20,,,,,,
Fiji,Land,Taveuni Ocean Sports,https://www.taveunioceansports.com/,dive@taveunioceansports.com,"Taveuni Island, Fiji",Taveuni,Taveuni,Yes,https://www.tripadvisor.com/Attraction_Review-g297562-d2196298-Reviews-Taveuni_Ocean_Sports-Taveuni_Island.html,https://www.google.com/maps/search/?api=1&query=Taveuni+Ocean+Sports,Independent dive shop serving Rainbow Reef,2025-08-20,5.0,377.0,,,2025-08-20,
Fiji,Land,Paradise Taveuni (PADI Dive Center),https://www.paradiseinfiji.com/diving/,allan@paradiseinfiji.com,"PO Box 69, Waiyevo, Taveuni, Fiji",Taveuni,Waiyevo / Vuna,Yes,https://www.tripadvisor.com/Hotel_Review-g297562-d637600-Reviews-Paradise_Taveuni_Resort-Taveuni_Island.html,https://www.google.com/maps/search/?api=1&query=Paradise+Taveuni,On-site PADI dive center near Vuna Reef & Rainbow Reef,2025-08-20,,,,,,
Fiji,Land,KoroSun Dive (Savasi Island),https://korosundive.com/,korosundive@connect.com.fj,"Hibiscus Highway, Savasi Island (Savusavu), Fiji",Vanua Levu,Savusavu,Yes,https://www.tripadvisor.com/Attraction_Review-g297565-d2037113-Reviews-KoroSun_Dive-Savusavu_Vanua_Levu.html,https://www.google.com/maps/search/?api=1&query=KoroSun+Dive+Savusavu,Rainbow Reef access from Savusavu,2025-08-20,,,,,,
Fiji,Land,Jean-Michel Cousteau Resort – Dive Center,https://www.jeanmichelcousteaudiving.com/,donsantee@jeanmichelcousteaudiving.com,"PO Box 333, Savusavu, Fiji",Vanua Levu,Savusavu,Yes,https://www.tripadvisor.com/Hotel_Review-g297565-d309579-Reviews-Koro_Sun_Resort-Savusavu_Vanua_Levu.html,https://www.google.com/maps/search/?api=1&query=Jean-Michel+Cousteau+Resort+Fiji,Resort dive center offering SCUBA,2025-08-20,,,,,,
Fiji,Land,Dive Kadavu (Matana Beach Resort),https://www.divekadavu.com/,admin@divekadavu.com,"PO Box 8, Vunisea, Kadavu, Fiji",Kadavu,Vunisea,Yes,https://www.tripadvisor.co.nz/Hotel_Feature-g308244-d307918-zft18944-Matana_Beach_Resort_Dive_Kadavu.html,https://www.google.com/maps/search/?api=1&query=Matana+Beach+Resort+Kadavu,On-site dive center for Great Astrolabe Reef,2025-08-20,,,,,,
Fiji,Land,Mad Fish Dive Centre (Matava Resort),https://matava.com/,info@matava.com,"Matava Resort, Kadavu, Fiji",Kadavu,Kadavu,Yes,https://www.tripadvisor.co.nz/ShowUserReviews-g26455824-d325467-r133385125-Matava-Kadavu_Kadavu_Island_Kadavu_Archipelago.html,https://www.google.com/maps/search/?api=1&query=Matava+Resort+Kadavu,On-site PADI dive center (Mad Fish),2025-08-20,,,,,,
Fiji,Land,Sau Bay Resort & Spa (Dive Sau Bay),https://www.fijidiveresort.net/,info@divesaubay.com,"Sau Bay, Vanua Levu (near Rainbow Reef), Fiji",Vanua Levu (near Taveuni),Sau Bay,Yes,https://www.tripadvisor.com/Search?q=Sau%20Bay%20Resort%20Diving,https://www.google.com/maps/search/?api=1&query=Sau+Bay+Resort+Fiji,Resort-based diving for Rainbow Reef,2025-08-20,,,,,,
Fiji,Land,Dive Academy Fiji (Viani Bay),https://www.diveacademyfiji.com/,info@diveacademyfiji.com,"Viani Bay, Vanua Levu, Fiji",Vanua Levu (Viani Bay),Viani Bay,Yes,https://www.tripadvisor.com/Attraction_Review-g297562-d21483827-Reviews-Dive_Academy_Fiji-Taveuni_Island.html,https://www.google.com/maps/search/?api=1&query=Dive+Academy+Fiji+Viani+Bay,Boutique dive resort/freediving center on Rainbow Reef,2025-08-20,,,,,,
Fiji,Land,Scuba Bula (Seashell@Momi),http://www.scubabula.com/,info@scubabula.com,"Seashell@Momi Resort, Momi Bay, Nadi, Fiji",Viti Levu (Momi),Nadi / Momi Bay,Yes,https://www.tripadvisor.co.za/Attraction_Review-g1827357-d1231241-Reviews-Scuba_Bula_Dive_Centre-Momi_Coral_Coast_Viti_Levu.html,https://www.google.com/maps/search/?api=1&query=Scuba+Bula+Seashell+Momi,PADI & SDI/TDI center diving Navula Barrier Reef,2025-08-20,,163.0,,,2025-08-20,
Fiji,Land,Beqa Lagoon Resort – Dive Center,https://beqalagoonresort.com/fiji-shark-dive/,reservations@beqalagoonresort.com,"Beqa Island (Box 112 Deuba; Pacific Harbour), Fiji",Beqa Island,Beqa / Pacific Harbour,Yes,https://www.tripadvisor.com/Search?q=Beqa%20Lagoon%20Resort%20diving,https://www.google.com/maps/search/?api=1&query=Beqa+Lagoon+Resort+Fiji,Resort with on-site PADI 5* Dive Center,2025-08-20,,,,,,
Fiji,Liveaboard,NAI'A Liveaboard,https://www.naia.com.fj/,explore@naia.com.fj,"PO Box 332, Pacific Harbour, Fiji",Embark: Lautoka Main Wharf,Lautoka (embark) / Pacific Harbour (office),Yes,https://www.liveaboard.com/diving/fiji/naia,https://www.google.com/maps/search/?api=1&query=Lautoka+Main+Wharf+Fiji,Fiji liveaboard; embark/disembark Lautoka Main Wharf,2025-08-20,,,,,,
