Country,Region,City/Town,Shop Name,Website,Email,Business Address,Phone,Notes,TripAdvisor Rating,TripAdvisor Reviews,TripAdvisor URL,Google Maps URL,Google Snapshot Rating,Google Snapshot Reviews,Google Snapshot (UTC),Last Checked (UTC)
France,Bretagne,Arzon (Morbihan),H2JO Diving,https://h2jo.bzh,contact@h2jo.fr,"19 Quai des Cabestans, 56640 Arzon, France",+33 2 97 53 62 73,Centre & boutique; explicitly scuba,,315.0,https://www.tripadvisor.fr/Attraction_Review-g641843-d4782818-Reviews-Centre_de_plongee_H2JO-Arzon_Morbihan_Brittany.html,https://www.google.com/maps/search/?api=1&query=H2JO+Diving+Arzon+%28Morbihan%29+France,,,,2025-08-19 23:05:15Z
France,Bretagne,Brest,Abysse Plongée,http://www.abysseplongee.fr,abysseplongeebrest@gmail.com,"Port du Moulin Blanc, 29200 Brest, France",+33 2 98 02 32 68,Centre; explicitly scuba,,,https://www.tripadvisor.com/Search?q=Abysse+Plong%C3%A9e+Brest+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Abysse+Plong%C3%A9e+Brest+France,,,,2025-08-19 22:11:25
France,Bretagne,Brest,Arimair Plongée,https://arimair.fr,ecole.plongee@arimair.fr,"8 Rue de Kerfautras, 29200 Brest, France",+33 2 98 46 67 75,École/centre; explicitly scuba,,,https://www.tripadvisor.in/Attraction_Review-g1067715-d28000838-Reviews-Arimair-Plougastel_Daoulas_Finistere_Brittany.html,https://www.google.com/maps/search/?api=1&query=Arimair+Plong%C3%A9e+Brest+France,,,,2025-08-19 23:05:15Z
France,Bretagne,Concarneau,Centre de plongée Éric Sauvage,https://eric-sauvage.com,contact@eric-sauvage.com,"49 Avenue Alain Le Lay, 29900 Concarneau",,Centre/école de plongée; formations et explorations,3.8,5.0,https://www.tripadvisor.fr/Attraction_Review-g187097-d14180756-Reviews-Centre_de_Plongee_Eric_Sauvage-Concarneau_Finistere_Brittany.html,https://www.google.com/maps/search/?api=1&query=Centre+de+plong%C3%A9e+%C3%89ric+Sauvage+Concarneau+France,,,,2025-08-19 22:46:30Z
France,Bretagne,Crozon,ISA Plongée Crozon,https://www.isacrozon.fr,centre.isa@gmail.com,"18 rue de Reims, 29160 Crozon",,Club/centre; sorties baie de Douarnenez & presqu’île de Crozon,,,https://www.tripadvisor.com/Search?q=ISA+Plong%C3%A9e+Crozon+Crozon+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=ISA+Plong%C3%A9e+Crozon+Crozon+France,,,,2025-08-19 22:11:25
France,Bretagne,Saint-Malo,Émeraude Plongée,https://www.emeraudeplongee.fr,contact@emeraudeplongee.fr,"1 Place du Québec, 35400 Saint-Malo, France",+33 2 99 20 16 90,Centre de plongée; explicitly scuba,4.5,31.0,https://www.tripadvisor.fr/Attraction_Review-g187104-d7203729-Reviews-Saint_Malo_Plongee_Emeraude_SMPE-Saint_Malo_Ille_et_Vilaine_Brittany.html,https://www.google.com/maps/search/?api=1&query=%C3%89meraude+Plong%C3%A9e+Saint-Malo+France,,,,2025-08-19 22:14:50Z
France,Bretagne,Saint-Pierre-Quiberon (Morbihan),Haliotis Plongée,https://haliotisplongee.com,contact@haliotisplongee.com,"Port de Portivy, 56510 Saint-Pierre-Quiberon",,Scuba center in South Brittany; fun dives & courses,4.6,17.0,https://www.tripadvisor.ca/Attraction_Review-g644086-d8067670-Reviews-Centre_Haliotis_Plongee-Saint_Pierre_Quiberon_Morbihan_Brittany.html,https://www.google.com/maps/search/?api=1&query=Haliotis+Plong%C3%A9e+Saint-Pierre-Quiberon+%28Morbihan%29+France,,,,2025-08-19 22:33:01Z
France,Bretagne,Saint-Quay-Portrieux (Côtes-d’Armor),Armor Plongée,https://www.armorplongee.com,contact@armorplongee.com,"1F rue de l’Étache, 22440 Ploufragan (base at Saint‑Quay‑Portrieux)",,Scuba center; training & boat dives on Brittany coast,5.0,30.0,https://www.tripadvisor.in/Attraction_Review-g735170-d12499134-Reviews-Armor_Plongee-Saint_Quay_Portrieux_Cotes_d_Armor_Brittany.html,https://www.google.com/maps/search/?api=1&query=Armor+Plong%C3%A9e+Saint-Quay-Portrieux+%28C%C3%B4tes-d%E2%80%99Armor%29+France,,,,2025-08-19 22:11:25
France,Bretagne,Trébeurden,CAP Trébeurden (Centre Activités Plongée),https://cap-trebeurden.com,infocap@cap-trebeurden.com,"Port de Plaisance, 22560 Trébeurden",,"Centre de plongée; baptêmes, formations, explorations",4.7,20.0,https://www.tripadvisor.fr/Attraction_Review-g196535-d7688185-Reviews-Plongee_Cap-Trebeurden_Cotes_d_Armor_Brittany.html,https://www.google.com/maps/search/?api=1&query=CAP+Tr%C3%A9beurden+%28Centre+Activit%C3%A9s+Plong%C3%A9e%29+Tr%C3%A9beurden+France,,,,2025-08-19 22:14:50Z
France,Corse,Ajaccio,Isula Plongée,https://www.isula-plongee.com,isula-plongee@orange.fr,"Plage de l’Hôtel Cala di Sole, Route des Sanguinaires, 20000 Ajaccio, France",+33 4 95 52 06 39,Centre; explicitly scuba,4.8,184.0,https://www.tripadvisor.fr/Attraction_Review-g187140-d8453054-Reviews-Isula_Plongee-Ajaccio_Communaute_d_Agglomeration_du_Pays_Ajaccien_Corse_du_Sud_Corsica.html,https://www.google.com/maps/search/?api=1&query=Isula+Plong%C3%A9e+Ajaccio+France,,,,2025-08-19 22:11:25
