Country,Type,Name,Operator,Vessel,Website,Email,Business Address,Island/Region,City/Town,Embark Port,Disembark Port,Explicitly States Scuba,TripAdvisor_URL,Google_Maps_URL,TripAdvisor Rating,TripAdvisor Reviews,Google Rating,Google Reviews,Ratings_AsOf,Ratings_Source_Notes,Last Verified,Notes
Honduras,Land-based,Alton's Dive Center,,,https://diveinutila.com/,info@diveinutila.com,"Main Road, The Point, Utila, Bay Islands, Honduras",Utila,The Point / Utila Town,,,Yes,https://www.tripadvisor.com/Search?q=Alton%27s%20Dive%20Center%20Utila,https://www.google.com/maps/search/Alton%27s+Dive+Center+Utila,,,,,,,2025-08-20,PADI listing & site show email/address.
Honduras,Land-based,Anthony's Key Resort (AKR) Dive Center,,,https://anthonyskey.com/dive-shop/,akr@anthonyskey.com,"Sandy Bay, Roatán, Bay Islands, Honduras",Roatán,Sandy Bay,,,Yes,https://www.tripadvisor.com/Search?q=Anthony%27s%20Key%20Resort%20Diving,https://www.google.com/maps/search/Anthony%27s+Key+Resort+Roatan,,,,,,,2025-08-20,Resort-based dive operation; direct dive shop contact on site.
Honduras,Land-based,Barefoot Divers (Barefoot Cay),,,https://www.barefootcay.com/,info@barefootcay.com,"Barefoot Cay Resort, Brick Bay, Roatán, Bay Islands, Honduras",Roatán,Brick Bay,,,Yes,https://www.tripadvisor.com/Search?q=Barefoot%20Divers%20Roatan,https://www.google.com/maps/search/Barefoot+Divers+Roatan,,,,,,,2025-08-20,Onsite PADI 5* dive center; contact on resort site.
Honduras,Land-based,Cabañas on Clark’s Cay (Resort Dive Ops),,,https://www.clarkscay.com/,reservations@clarkscay.com,"Clark’s Cay, Guanaja 34301, Bay Islands, Honduras",Guanaja,Clark’s Cay,,,Yes,https://www.tripadvisor.com/Search?q=Clark%27s%20Cay%20Diving%20Guanaja,https://www.google.com/maps/search/Clark%27s+Cay+Guanaja,,,,,,,2025-08-20,PADI listing confirms dive operations; email on site.
Honduras,Land-based,Clearwater Paradise Resort (Dive Ops),,,https://www.clearwaterparadise.com/,clearwaterparadiseresort@gmail.com,"Mangrove Bight, Guanaja, Bay Islands, Honduras",Guanaja,Mangrove Bight,,,Yes,https://www.tripadvisor.com/Search?q=Clearwater%20Paradise%20Resort%20Guanaja,https://www.google.com/maps/search/Clearwater+Paradise+Resort+Guanaja,,,,,,,2025-08-20,Site states fully equipped dive shop and boats.
Honduras,Land-based,Coconut Tree Divers,,,https://coconuttreedivers.com/,coconuttreedivers@gmail.com,"West End, Roatán, Bay Islands, Honduras",Roatán,West End,,,Yes,https://www.tripadvisor.com/Search?q=Coconut%20Tree%20Divers%20Roatan,https://www.google.com/maps/search/Coconut+Tree+Divers+Roatan,,,4.8,239.0,2025-08-20,Google via Wanderlog place page,2025-08-20,PADI 5* IDC; email and hours on contact page.
Honduras,Land-based,Coral View Beach Resort & Dive Center,,,https://coralviewutila.com/,dive@coralviewutila.com,"Blue Bayou / Sandy Bay area, Utila, Honduras",Utila,Blue Bayou / Sandy Bay,,,Yes,https://www.tripadvisor.com/Search?q=Coral%20View%20Dive%20Center%20Utila,https://www.google.com/maps/search/Coral+View+Utila,,,,,,,2025-08-20,Onsite PADI 5* dive center; email/address public.
Honduras,Land-based,Dockside Dive Center (CoCo View Resort),,,http://www.docksidedivecenter.com/,info@docksidedivecenter.com,"CoCo View Resort, French Harbour, Roatán, Honduras",Roatán,French Harbour,,,Yes,https://www.tripadvisor.com/Search?q=Dockside%20Dive%20Center%20Roatan,https://www.google.com/maps/search/Dockside+Dive+Center+Roatan,,,,,,,2025-08-20,PADI 5* on-site at CoCo View; email/address on site & PADI.
Honduras,Land-based,Hotel Guanaja & Guanaja Dive Center,,,https://www.hotelguanaja.com/dive,sales@hotelguanaja.com,"East End, Guanaja 34301, Bay Islands, Honduras",Guanaja,East End,,,Yes,https://www.tripadvisor.com/Search?q=Hotel%20Guanaja%20Dive%20Center,https://www.google.com/maps/search/Hotel+Guanaja+Dive+Center,,,,,,,2025-08-20,PADI page shows email/address; dive center page lists pricing.
Honduras,Land-based,Infinity Divers (Infinity Bay),,,https://infinitydivers.com/,info@infinitydivers.com,"Infinity Bay Resort, West Bay Beach, Roatán, Bay Islands, Honduras",Roatán,West Bay,,,Yes,https://www.tripadvisor.com/Search?q=Infinity%20Divers%20Roatan,https://www.google.com/maps/search/Infinity+Divers+Roatan,,,,,,,2025-08-20,Onsite at Infinity Bay; contact/address on site.
Honduras,Land-based,Mayan Divers (Mayan Princess),,,http://www.mayandivers.com/,info@mayandivers.com,"Mayan Princess Beach Resort, West Bay, Roatán, Honduras",Roatán,West Bay,,,Yes,https://www.tripadvisor.com/Search?q=Mayan%20Divers%20Roatan,https://www.google.com/maps/search/Mayan+Divers+Roatan,,,,,,,2025-08-20,PADI 5* IDC; email/address on PADI and resort pages.
Honduras,Land-based,Octopus Dive School,,,https://roatan-octopusdiveschool.com/,octopusdiveschool@gmail.com,"Gibson Bight, West End, Roatán, Honduras",Roatán,Gibson Bight / West End,,,Yes,https://www.tripadvisor.com/Search?q=Octopus%20Dive%20School%20Roatan,https://www.google.com/maps/search/Octopus+Dive+School+Roatan,,,,,,,2025-08-20,Email/address on site contact page.
Honduras,Land-based,Roatan Divers,,,https://roatandivers.com/,info@roatandivers.com,"West End, Roatán, Bay Islands, Honduras",Roatán,West End,,,Yes,https://www.tripadvisor.com/Search?q=Roatan%20Divers%20West%20End,https://www.google.com/maps/search/Roatan+Divers+West+End+Roatan,,1830.0,,,2025-08-20,Roatan Divers site: '1830+ Excellent Reviews on TripAdvisor',2025-08-20,PADI 5-Star IDC Eco Center; address/email listed on site.
Honduras,Land-based,Splash Inn Dive Center,,,https://roatansplashinn.com/en/about-our-dive-center/,info@roatansplashinn.com,"Main Street, West End, Roatán, Bay Islands, Honduras",Roatán,West End,,,Yes,https://www.tripadvisor.com/Search?q=Splash%20Inn%20Dive%20Center%20Roatan,https://www.google.com/maps/search/Splash+Inn+Dive+Center+Roatan,,,,,,,2025-08-20,PADI 5*; dive center page and contact email on site.
Honduras,Land-based,Subway Watersports (Turquoise Bay),,,https://www.subwaywatersports.com/,info@subwaywatersports.com,"Turquoise Bay Resort, Roatán, Bay Islands, Honduras",Roatán,East End / Milton Bight,,,Yes,https://www.tripadvisor.com/Search?q=Subway%20Watersports%20Roatan,https://www.google.com/maps/search/Subway+Watersports+Roatan,,,,,,,2025-08-20,PADI 5* IDC; email/address on PADI and site.
Honduras,Land-based,Sun Divers Roatan,,,https://sundiversroatan.com/,info@sundiversroatan.com,"West End Road, steps from Half Moon Bay, Roatán, Honduras",Roatán,West End,,,Yes,https://www.tripadvisor.com/Search?q=Sun%20Divers%20Roatan,https://www.google.com/maps/search/Sun+Divers+Roatan,,,,,,,2025-08-20,PADI 5-Star Eco dive center; email/address public.
Honduras,Land-based,Underwater Vision (Hotel Trudy),,,https://utilascubadiving.com/,info@utilascubadiving.com,"La Punta, Calle Principal, Utila 34201, Honduras",Utila,La Punta / Utila Town,,,Yes,https://www.tripadvisor.com/Search?q=Underwater%20Vision%20Utila,https://www.google.com/maps/search/Underwater+Vision+Utila,,,,,,,2025-08-20,PADI 5* IDC resort; contact on PADI & site.
Honduras,Land-based,Utila Cays Diving (Jewel Cay),,,https://utilacaysdiving.com/,info@utilacaysdiving.com,"Jewel Cay (Utila Cays), Utila, Bay Islands, Honduras",Utila,Utila Cays / Jewel Cay,,,Yes,https://www.tripadvisor.com/Search?q=Utila%20Cays%20Diving,https://www.google.com/maps/search/Utila+Cays+Diving,,,,,,,2025-08-20,Independent dive op on the Cays; email/location on site.
Honduras,Land-based,Utila Dive Center (UDC),,,https://utiladivecenter.com/,info@utiladivecenter.com,"Barrio La Punta, Utila, Islas de la Bahía, Honduras 34201",Utila,La Punta / Utila Town,,,Yes,https://www.tripadvisor.com/Search?q=Utila%20Dive%20Center,https://www.google.com/maps/search/Utila+Dive+Center,,1697.0,,,2025-08-20,"TripAdvisor page shows 1,697 reviews",2025-08-20,PADI 5* CDC; email/address on PADI & site.
Honduras,Land-based,Villa on Dunbar Rock (Resort Dive Ops),,,https://www.dunbarrock.com/,reservations@dunbarrock.com,"Dunbar Rock, Sandy Bay, Guanaja 34301, Honduras",Guanaja,Sandy Bay / Dunbar Rock,,,Yes,https://www.tripadvisor.com/Search?q=Villa%20on%20Dunbar%20Rock%20Diving,https://www.google.com/maps/search/Dunbar+Rock+Guanaja,,,,,,,2025-08-20,Resort with on-site dive operation; PADI page lists email/address.
Honduras,Land-based,West Bay Divers,,,https://www.westbaydivers.com/,dive@westbaydivers.com,"Fosters Road, West Bay, Roatán, Bay Islands, Honduras",Roatán,West Bay,,,Yes,https://www.tripadvisor.com/Search?q=West%20Bay%20Divers%20Roatan,https://www.google.com/maps/search/West+Bay+Divers+Roatan,,,,,,,2025-08-20,PADI 5*; email on site; address on PADI listing.
Honduras,Land-based,West End Divers,,,https://www.westenddivers.com/,courtney@westenddivers.com,"West End Road, West End, Roatán, Bay Islands, Honduras",Roatán,West End,,,Yes,https://www.tripadvisor.com/Search?q=West%20End%20Divers%20Roatan,https://www.google.com/maps/search/West+End+Divers+Roatan,,,,,,,2025-08-20,Boutique dive center; address on contact page; email via PADI listing.
Honduras,Liveaboard,Roatan Aggressor (Aggressor Adventures),Aggressor Adventures,Roatan Aggressor,https://www.aggressor.com/destination/Roatan,roatan@aggressor.com,"Aggressor Adventures, 209 Hudson Trace, Augusta, GA 30907 USA",,,"Roatan Yacht Club Marina, French Harbor (RTB)","Roatan Yacht Club Marina, French Harbor (RTB)",Yes,https://www.tripadvisor.com/Search?q=Roatan%20Aggressor,https://www.google.com/maps/search/Roatan+Yacht+Club+Marina+French+Harbor,,,,,,,2025-08-20,Official page lists itinerary; contact email on Aggressor contact page.
