Country,Region/Island,Area,Type,Business Name,City/Island,Address,Website,Phone,Email,TripAdvisor URL,TA_Bubbles(5=Excellent),TA_Review_Count,Google_Stars_FirstParty,Google_Stars_Source_URL,Notes/Tags,Status,Last Checked (UTC),Contact_Source_URL
Indonesia,Bali – South Bali (Sanur),Sanur,Dive Shop,Blue Season Bali,Sanur,"Jalan Danau Poso, Gang Wanasari 3b, Sanur 80228, Bali, Indonesia",https://www.blueseasonbali.com/,+62 811-3855-598 / +62 361 270 852,diving@blueseasonbali.com,https://www.tripadvisor.in/Attraction_Review-g297700-d1946976-Reviews-Blue_Season_Bali-Sanur_Denpasar_Bali.html,,,,,Guided dives + boats,Indonesia Wave 1 Seed,2025-08-14 02:11:41 UTC,https://www.baliocean.com/contact-us/
Indonesia,Bali – South Bali (Sanur),Sanur,Dive Shop,Bali Scuba,Sanur,,https://www.baliscuba.com/,+62 818-0504-3888 (WhatsApp/SMS),letsdive@baliscuba.com,https://www.tripadvisor.in/Attraction_Review-g297700-d1763985-Reviews-Bali_Scuba-Sanur_Denpasar_Bali.html,,,,,Guided dives + boats,Indonesia Wave 1 Seed,2025-08-14 02:11:41 UTC,https://www.baliscuba.com/contact/
Indonesia,Bali – South Bali (Sanur),Sanur,Dive Shop,Joe’s Gone Diving,Sanur,"Jl. By Pass Ngurah Rai 44A, Sanur, Denpasar 80228, Bali, Indonesia",https://joesgonediving.com/,+65 9760 0300,info@joesgonediving.com,https://www.tripadvisor.in/Attraction_Review-g297700-d2028952-Reviews-Joe_s_Gone_Diving-Sanur_Denpasar_Bali.html,,,,,Guided dives + boats,Indonesia Wave 1 Seed,2025-08-14 02:11:41 UTC,https://www.joesgonediving.com/en/contact-us/
Indonesia,Bali – South Bali (Sanur),Sanur,Dive Shop,Crystal Divers Bali,Sanur,"Jl By Pass Ngurah Rai, Gang Griya no 6, Sanur, Bali, Indonesia",https://www.crystal-divers.com/,+62 361 286737 / +62 811 386 8006 (WhatsApp),info@crystal-divers.com,https://www.tripadvisor.in/Attraction_Review-g297700-d2046291-Reviews-Crystal_Divers-Sanur_Denpasar_Bali.html,,,,,Guided dives + boats,Indonesia Wave 1 Seed,2025-08-14 02:11:41 UTC,https://www.crystal-divers.com/contact
Indonesia,Bali – South Bali (Sanur),Sanur,Dive Shop,Atlantis Bali Diving (Dune),Sanur,"Jl. By Pass Ngurah Rai No.96E, Sanur, Bali 80228, Indonesia",https://atlantis-bali-diving.com/,+62 361 284 131,info@dune-bali.com,https://en.tripadvisor.com.hk/ShowUserReviews-g297700-d2143282-Atlantis_International_Bali-Sanur_Denpasar_Bali.html,,,,,Guided dives + boats,Indonesia Wave 1 Seed; Enriched batch3; Enriched batch4,2025-08-14T03:19:29Z,https://www.atlantis-bali-diving.com/contact/
Indonesia,Bali – South Bali (Sanur),Sanur,Dive Shop,AquaMarine Diving – Bali,Sanur,"Jalan Petitenget No.2A, Kuta, Bali 80361, Indonesia",https://www.bali-diving.com/,+62 361 4738 020,Info@AquaMarineDiving.com,https://www.tripadvisor.com.au/ShowUserReviews-g297697-d2206659-AquaMarine_Diving_Bali-Kuta_Kuta_District_Bali.html,,,,,Guided dives + boats,Indonesia Wave 1 Seed; Enriched batch3; Enriched batch4,2025-08-14T03:19:29Z,https://www.aquamarinediving.com/location-contact/
Indonesia,Bali – Nusa Penida/Lembongan,Nusa Lembongan,Operator (Scuba Charter),World Diving Lembongan,Nusa Lembongan,"Jalan Jungutbatu Raya, Nusa Lembongan, Bali, Indonesia",https://www.world-diving.com/,+62 812-3900-686 (WhatsApp),info@world-diving.com,https://en.tripadvisor.com.hk/Attraction_Review-g1137831-d2222477-Reviews-World_Diving-Lembongan_Nusa_Penida_Bali.html,,,,,,Indonesia Wave 1 Seed,2025-08-14 02:11:41 UTC,https://www.world-diving.com/contact-us
Indonesia,Bali – Nusa Penida/Lembongan,Nusa Lembongan,Operator (Scuba Charter),Blue Corner Dive,Nusa Lembongan,"Jungut Batu, Nusa Lembongan, Bali 80771, Indonesia",https://bluecornerdive.com/,+62 812-3761-8151,info@bluecornerdive.com,https://www.tripadvisor.in/Attraction_Review-g1137831-d1172581-Reviews-Blue_Corner_Dive-Lembongan_Nusa_Penida_Bali.html,,,,,,Indonesia Wave 1 Seed,2025-08-14 02:11:41 UTC,https://www.bluecornerdive.com/contact
Indonesia,Bali – Nusa Penida/Lembongan,Nusa Lembongan,Operator (Scuba Charter),Big Fish Diving,Nusa Lembongan,"Secret Garden Bungalows, Jungutbatu Village, Nusa Lembongan, Indonesia",https://www.bigfishdiving.com/,+62 813-5313-6861,info@bigfishdiving.com,https://www.tripadvisor.in/Attraction_Review-g1137831-d2410790-Reviews-Big_Fish_Diving-Lembongan_Nusa_Penida_Bali.html,,,,,,Indonesia Wave 1 Seed,2025-08-14 02:11:41 UTC,https://bigfishdiving.com/contact/
Indonesia,Bali – Nusa Penida/Lembongan,Nusa Lembongan,Dive Shop,Two Fish Divers – Nusa Lembongan,Nusa Lembongan,,https://www.twofishdivers.com/locations/nusa-lembongan/,+62 811-3811-4009,info@twofishdivers.com,https://www.tripadvisor.co.uk/ShowUserReviews-g1137831-d7224143-Two_Fish_Divers_Resort-Nusa_Lembongan_Bali.html,,,,,Guided dives + boats,Indonesia Wave 1 Seed; Enriched batch3; Enriched batch4,2025-08-14T03:19:29Z,https://twofishdivers.com/contact-two-fish-divers/
