,country,state_territory,region,city_area,shop_name,website,email,address,explicitly_states_scuba,meets_final4,source_urls,google_maps_url,google_rating,google_reviews_count,google_reviews_link,tripadvisor_rating,tripadvisor_reviews_count,tripadvisor_url,last_review_check_utc,TripAdvisor_exact
0,Italy,Liguria,Portofino & Tigullio,Santa Margherita Ligure,Portofino Divers,https://portofinodivers.com/,info@portofinodivers.com,"Via Jacopo Ruffini 47, 16038 Santa Margherita Ligure (GE), Italy",True,True,https://portofinodivers.com/contact | https://portofinodivers.com/scheduled-courses | https://www.padi.com/dive-center/italy/portofino-divers/,https://www.google.com/maps/search/?api=1&query=Portofino%20Divers%20Santa%20Margherita%20Ligure%20Liguria%20Italy,,,https://www.google.com/maps/search/?api=1&query=Portofino%20Divers%20Santa%20Margherita%20Ligure%20Liguria%20Italy,,,https://www.tripadvisor.com/Search?q=Portofino%20Divers%20Santa%20Margherita%20Ligure%20Liguria%20Italy,2025-08-18T18:46:54Z,
1,Italy,Liguria,Portofino & Tigullio,Santa Margherita Ligure (Rapallo base nearby),Diving Group Portofino,https://dgportofino.com/,info@dgportofino.com,"Via Favale 25, 16038 Santa Margherita Ligure (GE), Italy",True,True,https://dgportofino.com/en/contatti/ | https://dgportofino.com/en/sedi-e-struttura/ | https://www.padi.com/dive-center/italy/diving-group-portofino/,https://www.google.com/maps/search/?api=1&query=Diving%20Group%20Portofino%20Santa%20Margherita%20Ligure%20%28Rapallo%20base%20nearby%29%20Liguria%20Italy,,,https://www.google.com/maps/search/?api=1&query=Diving%20Group%20Portofino%20Santa%20Margherita%20Ligure%20%28Rapallo%20base%20nearby%29%20Liguria%20Italy,,,https://www.tripadvisor.com/Search?q=Diving%20Group%20Portofino%20Santa%20Margherita%20Ligure%20%28Rapallo%20base%20nearby%29%20Liguria%20Italy,2025-08-18T18:46:54Z,
2,Italy,Liguria,Portofino & Tigullio,Santa Margherita Ligure,DWS Diving,https://www.dwsdiving.com/,info@dwsdiving.com,"Via Favale 11, 16038 Santa Margherita Ligure (GE), Italy",True,True,https://www.dwsdiving.com/en_subdomain/about-us/ | https://www.dwsdiving.com/en_subdomain/index-php_route_information/contact/,https://www.google.com/maps/search/?api=1&query=DWS%20Diving%20Santa%20Margherita%20Ligure%20Liguria%20Italy,,,https://www.google.com/maps/search/?api=1&query=DWS%20Diving%20Santa%20Margherita%20Ligure%20Liguria%20Italy,,,https://www.tripadvisor.com/Search?q=DWS%20Diving%20Santa%20Margherita%20Ligure%20Liguria%20Italy,2025-08-18T18:46:54Z,
3,Italy,Liguria,Genoa,Genova (Sestri Ponente),Centro Sub Tigullio,https://www.cstigullio.com/,centrosubtigullio.ge@gmail.com,"Via Luigi Cibrario 47/e, 16154 Genova (GE), Italy",True,True,https://www.cstigullio.com/ | https://depthlog.net/resources/diving-sites/it/center/centro-sub-tigullio-diving-center-genova,https://www.google.com/maps/search/?api=1&query=Centro%20Sub%20Tigullio%20Genova%20%28Sestri%20Ponente%29%20Liguria%20Italy,,,https://www.google.com/maps/search/?api=1&query=Centro%20Sub%20Tigullio%20Genova%20%28Sestri%20Ponente%29%20Liguria%20Italy,,,https://www.tripadvisor.com/Search?q=Centro%20Sub%20Tigullio%20Genova%20%28Sestri%20Ponente%29%20Liguria%20Italy,2025-08-18T18:46:54Z,
4,Italy,Sardegna,Gallura — Tavolara & Porto San Paolo,Porto San Paolo (OT),Tavolara Diving (Centro Sub Tavolara),https://www.tavolaradiving.it/,info@tavolaradiving.it,"Via Molara 4/6, 07020 Porto San Paolo (OT), Italy",True,True,https://www.tavolaradiving.it/en/contacts/ | https://www.tavolaradiving.it/en/,https://www.google.com/maps/search/?api=1&query=Tavolara%20Diving%20%28Centro%20Sub%20Tavolara%29%20Porto%20San%20Paolo%20%28OT%29%20Sardegna%20Italy,,,https://www.google.com/maps/search/?api=1&query=Tavolara%20Diving%20%28Centro%20Sub%20Tavolara%29%20Porto%20San%20Paolo%20%28OT%29%20Sardegna%20Italy,,,https://www.tripadvisor.com/Search?q=Tavolara%20Diving%20%28Centro%20Sub%20Tavolara%29%20Porto%20San%20Paolo%20%28OT%29%20Sardegna%20Italy,2025-08-18T18:46:54Z,
5,Italy,Sardegna,Gallura — La Maddalena & Palau,Palau (SS),Nautilus Diving Center,https://www.divesardegna.com/,info@divesardegna.com,"Via Roma 14, 07020 Palau (SS), Italy",True,True,https://www.divesardegna.com/ | https://www.padi.com/dive-center/italy/nautilus-diving-center-2/,https://www.google.com/maps/search/?api=1&query=Nautilus%20Diving%20Center%20Palau%20%28SS%29%20Sardegna%20Italy,,,https://www.google.com/maps/search/?api=1&query=Nautilus%20Diving%20Center%20Palau%20%28SS%29%20Sardegna%20Italy,,,https://www.tripadvisor.com/Search?q=Nautilus%20Diving%20Center%20Palau%20%28SS%29%20Sardegna%20Italy,2025-08-18T18:46:54Z,
6,Italy,Sardegna,Costa Smeralda — Poltu Quatu,Arzachena (OT),Orso Diving Club,https://orsodiving.com/,info@orsodiving.com,"Loc. Poltu Quatu (lato ovest porto), 07021 Arzachena (OT), Italy",True,True,https://orsodiving.com/en/where-we-are/ | https://www.divessi.com/de/divecenter/orso-diving-club-arzachena-ot-olbia-tempio-italy-italia-717851,https://www.google.com/maps/search/?api=1&query=Orso%20Diving%20Club%20Arzachena%20%28OT%29%20Sardegna%20Italy,,,https://www.google.com/maps/search/?api=1&query=Orso%20Diving%20Club%20Arzachena%20%28OT%29%20Sardegna%20Italy,,,https://www.tripadvisor.com/Search?q=Orso%20Diving%20Club%20Arzachena%20%28OT%29%20Sardegna%20Italy,2025-08-18T18:46:54Z,
7,Italy,Sardegna,Alghero — Capo Caccia,Alghero (SS),Capo Galera Diving Center,https://www.capogalera.com/,capogalera@capogalera.com,"Loc. Capo Galera, 07041 Alghero (SS), Italy",True,True,https://www.capogalera.com/?ver=en | https://www.padi.com/dive-center/italy/capo-galera-diving-center/,https://www.google.com/maps/search/?api=1&query=Capo%20Galera%20Diving%20Center%20Alghero%20%28SS%29%20Sardegna%20Italy,,,https://www.google.com/maps/search/?api=1&query=Capo%20Galera%20Diving%20Center%20Alghero%20%28SS%29%20Sardegna%20Italy,,,https://www.tripadvisor.com/Search?q=Capo%20Galera%20Diving%20Center%20Alghero%20%28SS%29%20Sardegna%20Italy,2025-08-18T18:46:54Z,
8,Italy,Sicilia,Ustica Island,Ustica (PA),Orca Diving Ustica,https://www.orcadivingustica.com/,info@orcadivingustica.com,"Via Cristoforo Colombo 39, 90051 Ustica (PA), Italy",True,True,https://www.orcadivingustica.com/en/contacts | https://www.padi.com/dive-center/italy/orca-diving-ustica/,https://www.google.com/maps/search/?api=1&query=Orca%20Diving%20Ustica%20Ustica%20%28PA%29%20Sicilia%20Italy,,,https://www.google.com/maps/search/?api=1&query=Orca%20Diving%20Ustica%20Ustica%20%28PA%29%20Sicilia%20Italy,,,https://www.tripadvisor.com/Search?q=Orca%20Diving%20Ustica%20Ustica%20%28PA%29%20Sicilia%20Italy,2025-08-18T18:46:54Z,
9,Italy,Sicilia,Ustica Island,Ustica (PA),Blue Diving Ustica,https://www.bluedivingustica.it/,info@bluedivingustica.it,"Piazza Vito Longo 4, 90051 Ustica (PA), Italy",True,True,https://www.bluedivingustica.it/en/,https://www.google.com/maps/search/?api=1&query=Blue%20Diving%20Ustica%20Ustica%20%28PA%29%20Sicilia%20Italy,,,https://www.google.com/maps/search/?api=1&query=Blue%20Diving%20Ustica%20Ustica%20%28PA%29%20Sicilia%20Italy,,,https://www.tripadvisor.com/Search?q=Blue%20Diving%20Ustica%20Ustica%20%28PA%29%20Sicilia%20Italy,2025-08-18T18:46:54Z,
10,Italy,Sicilia,Taormina & Giardini Naxos,Giardini Naxos (ME),DiveSicily Diving & Watersports,https://www.divesicily.com/,info@divesicily.com,"Naxos Harbor, 98035 Giardini Naxos (ME), Sicily, Italy",True,True,https://www.divesicily.com/contact-us/ | https://www.divesicily.com/contact/,https://www.google.com/maps/search/?api=1&query=DiveSicily%20Diving%20%26%20Watersports%20Giardini%20Naxos%20%28ME%29%20Sicilia%20Italy,,,https://www.google.com/maps/search/?api=1&query=DiveSicily%20Diving%20%26%20Watersports%20Giardini%20Naxos%20%28ME%29%20Sicilia%20Italy,,,https://www.tripadvisor.com/Search?q=DiveSicily%20Diving%20%26%20Watersports%20Giardini%20Naxos%20%28ME%29%20Sicilia%20Italy,2025-08-18T18:46:54Z,
11,Italy,Sicilia,Catania,Catania (CT),Jonio Pro-Dive Catania,https://jonioprodivecatania.com/,jonioprodivecatania@gmail.com,"c/o Camping Jonio, Via Villini a Mare 2, 95126 Catania (CT), Italy",True,True,https://jonioprodivecatania.com/contatti.html | https://www.padi.com/dive-center/italy/jonio-pro-dive-catania/,https://www.google.com/maps/search/?api=1&query=Jonio%20Pro-Dive%20Catania%20Catania%20%28CT%29%20Sicilia%20Italy,,,https://www.google.com/maps/search/?api=1&query=Jonio%20Pro-Dive%20Catania%20Catania%20%28CT%29%20Sicilia%20Italy,,,https://fr.tripadvisor.ch/Attraction_Review-g187888-d12156506-Reviews-Jonio_Pro_Dive_Catania-Catania_Province_of_Catania_Sicily.html,2025-08-18T18:46:54Z,TRUE
12,Italy,Campania,Pozzuoli — Baia Underwater Park,Pozzuoli (NA),Centro Sub Campi Flegrei,https://www.centrosubcampiflegrei.it/,info@centrosubcampiflegrei.it,"Via Miliscola 165 (Lido Montenuovo), 80078 Pozzuoli (NA), Italy",True,True,https://www.padi.com/dive-center/italy/centro-sub-campi-flegrei-srl/ | https://www.parcoarcheologicosommersodibaia.it/,https://www.google.com/maps/search/?api=1&query=Centro%20Sub%20Campi%20Flegrei%20Pozzuoli%20%28NA%29%20Campania%20Italy,,,https://www.google.com/maps/search/?api=1&query=Centro%20Sub%20Campi%20Flegrei%20Pozzuoli%20%28NA%29%20Campania%20Italy,,,https://www.tripadvisor.com/Search?q=Centro%20Sub%20Campi%20Flegrei%20Pozzuoli%20%28NA%29%20Campania%20Italy,2025-08-18T18:46:54Z,
13,Italy,Campania,Sorrento & Massa Lubrense (Punta Campanella MPA),Sorrento (NA),Punta Campanella Diving Sorrento,https://www.puntacampanelladiving.com/,info@puntacampanelladiving.com,"Via Marina Grande 186, 80067 Sorrento (NA), Italy",True,True,https://www.puntacampanelladiving.com/contacts/ | https://www.padi.com/dive-center/italy/punta-campanella-diving-sorrento/,https://www.google.com/maps/search/?api=1&query=Punta%20Campanella%20Diving%20Sorrento%20Sorrento%20%28NA%29%20Campania%20Italy,,,https://www.google.com/maps/search/?api=1&query=Punta%20Campanella%20Diving%20Sorrento%20Sorrento%20%28NA%29%20Campania%20Italy,,,https://www.tripadvisor.com/Search?q=Punta%20Campanella%20Diving%20Sorrento%20Sorrento%20%28NA%29%20Campania%20Italy,2025-08-18T18:46:54Z,
14,Italy,Campania,Ischia Island,Ischia (NA),ANS Diving Ischia,https://ansdivingischia.it/,ansdivingischia@gmail.com,"Via Girolamo Rocca 13, 80077 Ischia (NA), Italy",True,True,https://ansdivingischia.it/ | https://dive.site/explore/dive-centers/ischia-diving-orizzonti-blu-4Xg,https://www.google.com/maps/search/?api=1&query=ANS%20Diving%20Ischia%20Ischia%20%28NA%29%20Campania%20Italy,,,https://www.google.com/maps/search/?api=1&query=ANS%20Diving%20Ischia%20Ischia%20%28NA%29%20Campania%20Italy,,,https://www.tripadvisor.it/Attraction_Review-g580214-d4236191-Reviews-ANS_Diving_Ischia-Ischia_Isola_d_Ischia_Province_of_Naples_Campania.html,2025-08-18T18:46:54Z,TRUE
15,Italy,Toscana,Isola d'Elba — Capoliveri (Morcone),Capoliveri (LI),Aquanautic Elba,https://aquanautic-elba.de/,info@aquanautic-elba.de,"Loc. Morcone 33, 57031 Capoliveri (LI), Italy",True,True,https://aquanautic-elba.de/kontakt/ | https://aquanautic-elba.de/nl/contact/,https://www.google.com/maps/search/?api=1&query=Aquanautic%20Elba%20Capoliveri%20%28LI%29%20Toscana%20Italy,,,https://www.google.com/maps/search/?api=1&query=Aquanautic%20Elba%20Capoliveri%20%28LI%29%20Toscana%20Italy,,,https://www.tripadvisor.com/ShowUserReviews-g194706-d2207630-r267337051-Aquanautic_Elba-Capoliveri_Elba_Island_Province_of_Livorno_Tuscany.html,2025-08-18T18:46:54Z,TRUE
16,Italy,Toscana,Isola d'Elba — Marina di Campo,Marina di Campo (LI),Sub Now Diving Center (Marina di Campo),https://www.subnow.it/,info@subnow.it,"Via Renato Fucini 452, 57034 Marina di Campo (LI), Italy",True,True,https://www.subnow.it/ | https://www.checkyeti.com/en/d/2842/22093,https://www.google.com/maps/search/?api=1&query=Sub%20Now%20Diving%20Center%20%28Marina%20di%20Campo%29%20Marina%20di%20Campo%20%28LI%29%20Toscana%20Italy,,,https://www.google.com/maps/search/?api=1&query=Sub%20Now%20Diving%20Center%20%28Marina%20di%20Campo%29%20Marina%20di%20Campo%20%28LI%29%20Toscana%20Italy,,,https://www.tripadvisor.it/Attraction_Review-g194795-d12536612-Reviews-Sub_Now_Tauchen_auf_Elba-Marina_di_Campo_Elba_Island_Province_of_Livorno_Tuscany.html,2025-08-18T18:46:54Z,TRUE
17,Italy,Toscana,Isola d'Elba — Portoferraio/Procchio/Biodola,Portoferraio (LI),Diving in Elba (Portoferraio),https://www.divinginelba.com/,info@divinginelba.com,"Hotel Airone del Parco & delle Terme, 57037 Portoferraio (LI), Italy",True,True,https://www.divinginelba.com/en/ | https://www.surfaceinterval.co/italy/tuscan-archipelago/diving-in-elba-portoferraio,https://www.google.com/maps/search/?api=1&query=Diving%20in%20Elba%20%28Portoferraio%29%20Portoferraio%20%28LI%29%20Toscana%20Italy,,,https://www.google.com/maps/search/?api=1&query=Diving%20in%20Elba%20%28Portoferraio%29%20Portoferraio%20%28LI%29%20Toscana%20Italy,,,https://en.tripadvisor.com.hk/ShowUserReviews-g194861-d8404129-r399031307-Diving_In_Elba-Portoferraio_Elba_Island_Province_of_Livorno_Tuscany.html,2025-08-18T18:46:54Z,TRUE
