Country,Name,Type,Atoll,Island/City,Business_Address,Website,Email,Phone,Explicit_Scuba,Verified_On,TA_URL,Google_Maps_URL,Sources,TA_Rating,TA_Reviews,Google_Rating,Google_Reviews,Ratings_AsOf,Rating_Notes
Maldives,Prodivers Kuredu,Land,Lhaviyani,Kuredu Island,"Kuredu Resort & Spa, Lhaviyani Atoll, Maldives",https://www.prodivers.com/kuredu-dive-centre-maldives/,kuredu@prodivers.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Prodivers+Kuredu+Maldives,https://www.google.com/maps/search/?api=1&query=Prodivers+Kuredu+Maldives,Prodivers site & PADI,,,,,,
Maldives,Prodivers Hurawalhi,Land,Lhaviyani,Hurawalhi,"Hurawalhi Island Resort, Lhaviyani Atoll, Maldives",https://www.prodivers.com/hurawalhi-dive-center-maldives/,hurawalhi@prodivers.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Prodivers+Hurawalhi+Maldives,https://www.google.com/maps/search/?api=1&query=Prodivers+Hurawalhi+Maldives,Prodivers site & PADI,,,,,,
Maldives,Prodivers Komandoo,Land,Lhaviyani,Komandoo,"Komandoo Island Resort, Lhaviyani Atoll, Maldives",https://www.prodivers.com/komandoo-dive-center-maldives/,komandoo@prodivers.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Prodivers+Komandoo+Maldives,https://www.google.com/maps/search/?api=1&query=Prodivers+Komandoo+Maldives,Prodivers site & PADI,,,,,,
Maldives,Euro-Divers Meeru,Land,North Malé,Meeru Island,"Meeru Maldives Resort Island, North Malé Atoll, Maldives",https://www.euro-divers.com/meeru-maldives-dive-water-sport-centre/,meeru@euro-divers.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Euro-Divers+Meeru+Maldives,https://www.google.com/maps/search/?api=1&query=Euro-Divers+Meeru+Maldives,Euro-Divers site,5.0,296,,,2025-08-23,TripAdvisor count via mirror
Maldives,Euro-Divers Vilamendhoo,Land,South Ari,Vilamendhoo,"Vilamendhoo Island Resort & Spa, South Ari Atoll, Maldives",https://www.euro-divers.com/dive-water-sport-centre-vilamendhoo-maldives/,vilamendhoo@euro-divers.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Euro-Divers+Vilamendhoo+Maldives,https://www.google.com/maps/search/?api=1&query=Euro-Divers+Vilamendhoo+Maldives,Euro-Divers site,,,,,,
Maldives,Liquid Salt Divers (Dharavandhoo),Land,Baa,Dharavandhoo,"Dhigu Magu, Dharavandhoo, Baa Atoll, Maldives",https://www.liquidsaltdivers.com/,dive@liquidsaltdivers.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Liquid+Salt+Divers+%28Dharavandhoo%29+Maldives,https://www.google.com/maps/search/?api=1&query=Liquid+Salt+Divers+%28Dharavandhoo%29+Maldives,Operator site,,,,,,
Maldives,Fuvahmulah Dive School,Land,Gnaviyani,Fuvahmulah,"Dhoodigan, Bandharu, Kuleebin, Gn. Fuvahmulah, Maldives",https://www.fuvahmulahdive.com/,info@fuvahmulahdive.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Fuvahmulah+Dive+School+Maldives,https://www.google.com/maps/search/?api=1&query=Fuvahmulah+Dive+School+Maldives,Operator site,,,,,,
Maldives,Ocean Junkies (Hulhumalé),Land,North Malé,Hulhumalé,"Lot 11105, Nirolhu Magu – Goalhi 21, Hulhumalé 23000, Maldives",https://www.oceanjunkies.com.mv/,info@oceanjunkies.com.mv,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Ocean+Junkies+%28Hulhumal%C3%A9%29+Maldives,https://www.google.com/maps/search/?api=1&query=Ocean+Junkies+%28Hulhumal%C3%A9%29+Maldives,Operator site,5.0,81,,,2025-08-23,TripAdvisor count via mirror
Maldives,Dive Club Maldives (Malé/Hulhumalé),Land,North Malé,Malé / Hulhumalé,"H. Victory Lodge, 1st Floor, Karankaa Magu, Malé 20081, Maldives",https://diveclubmaldives.com/,info@diveclubmaldives.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Dive+Club+Maldives+%28Mal%C3%A9%2FHulhumal%C3%A9%29+Maldives,https://www.google.com/maps/search/?api=1&query=Dive+Club+Maldives+%28Mal%C3%A9%2FHulhumal%C3%A9%29+Maldives,Operator site,4.8,395,,,2025-08-23,TripAdvisor attraction page snapshot
Maldives,DivePoint Maldives – Guraidhoo,Land,South Malé,Guraidhoo,"Silincoa, K. Guraidhoo, South Malé Atoll, Maldives",https://divepoint-maldives.com/,info@divepoint-maldives.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=DivePoint+Maldives+%E2%80%93+Guraidhoo+Maldives,https://www.google.com/maps/search/?api=1&query=DivePoint+Maldives+%E2%80%93+Guraidhoo+Maldives,Operator site,,,,,,
Maldives,Jerry’s Dive Club (Rasdhoo),Land,Alif Alif (Rasdhoo),Rasdhoo,"Cooperation Rd, 09020 Rasdhoo, Alif Alif Atoll, Maldives",https://jerrysdiveclub.com/,hello@jerrysdiveclub.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Jerry%E2%80%99s+Dive+Club+%28Rasdhoo%29+Maldives,https://www.google.com/maps/search/?api=1&query=Jerry%E2%80%99s+Dive+Club+%28Rasdhoo%29+Maldives,Operator site,,149,,,2025-08-23,TA regional page review count
Maldives,Alihuras Rasdhoo Dive & Excursions Center,Land,Alif Alif (Rasdhoo),Rasdhoo,"Samrock, Bodumagu, AA. Rasdhoo, 09020, Maldives",https://alihurasrasdhoodive.com/,alihuras.rasdhoo@gmail.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Alihuras+Rasdhoo+Dive+%26+Excursions+Center+Maldives,https://www.google.com/maps/search/?api=1&query=Alihuras+Rasdhoo+Dive+%26+Excursions+Center+Maldives,Operator site,,,,,,
Maldives,Rasdhoo Atoll Divers (Kuramathi),Land,Alif Alif (Rasdhoo),Kuramathi,"Kuramathi Island Resort, Rasdhoo Atoll, Maldives",https://www.padi.com/dive-center/maldives/rasdhoo-atoll-divers/,diveschool@kuramathi.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Rasdhoo+Atoll+Divers+%28Kuramathi%29+Maldives,https://www.google.com/maps/search/?api=1&query=Rasdhoo+Atoll+Divers+%28Kuramathi%29+Maldives,PADI,,,,,,
Maldives,Oceanholic Divers (Dhigurah),Land,South Ari,Dhigurah,"A.Dh. Dhigurah, South Ari Atoll, Maldives",https://oceanholicmaldives.com/,reehan@oceanholicmaldives.com,,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Oceanholic+Divers+%28Dhigurah%29+Maldives,https://www.google.com/maps/search/?api=1&query=Oceanholic+Divers+%28Dhigurah%29+Maldives,Operator site,,,,,,
