Country,Region/Island,Area,Business Name,Type,City/Island,Address,Website,Phone,Email,TripAdvisor URL,TA_Bubbles(5=Excellent),TA_Review_Count,Google_Stars_FirstParty,Google_Stars_Source_URL,Notes/Tags,Status,Last Checked (UTC),Contact_Source_URL
Mexico,Baja California Sur – Cabo Pulmo,Cabo Pulmo,Cabo Pulmo Beach Resort – Dive Center,Operator (Scuba Charter),Cabo Pulmo,,https://www.cabopulmo.com/,,,,,,,,Resort dive center,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Cabo Pulmo,Cabo Pulmo,Cabo Pulmo Divers,Operator (Scuba Charter),Cabo Pulmo,,https://cabopulmodivers.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Cabo Pulmo,Cabo Pulmo,Cabo Pulmo Diving,Operator (Scuba Charter),Cabo Pulmo,,https://cabopulmodiving.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Baja California Sur – Cabo Pulmo,Cabo Pulmo,Cabo Pulmo Sport Center,Operator (Scuba Charter),Cabo Pulmo,,https://www.cabopulmosportcenter.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Cabo Pulmo,Cabo Pulmo,Cabo Pulmo Watersports,Operator (Scuba Charter),Cabo Pulmo,,https://cabopulmowatersports.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Cabo Adventures (Scuba),Operator (Scuba Charter),Cabo San Lucas,,https://www.cabo-adventures.com/en/tour/scuba-diving/,,,,,,,,Explicit scuba tours,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Cabo Private Guide (Scuba),Operator (Scuba Charter),Cabo San Lucas,,https://caboprivateguide.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Cabo Trek (Scuba),Operator (Scuba Charter),Cabo San Lucas,,https://cabowhalewatching.org/scuba-diving/,,,,,,,,Explicit scuba page,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Dive Cabo,Operator (Scuba Charter),Cabo San Lucas,,https://www.divecabo.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Dive Ninja Expeditions,Operator (Scuba Charter),Cabo San Lucas,,https://www.diveninjaexpeditions.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Manta Scuba Diving,Operator (Scuba Charter),Cabo San Lucas,,https://mantacabo.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Nautilus Dive Tech,Operator (Scuba Charter),Cabo San Lucas,,https://nautilusdivetech.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Cabo San Lucas,Cabo San Lucas,Pisces Dive Shop,Operator (Scuba Charter),Cabo San Lucas,,https://piscesdiveshop.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Baja California Sur – La Paz,La Paz,Baja Diving & Service,Operator (Scuba Charter),La Paz,,https://bajadiving.com/,,,,,,,,,Mexico Wave 5 Add,2025-08-14 01:20:26 UTC,
Mexico,Baja California Sur – La Paz,La Paz,Baja Expeditions (Scuba),Operator (Scuba Charter),La Paz,,https://bajaex.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Baja California Sur – La Paz,La Paz,Club Cantamar – Dive Center,Operator (Scuba Charter),La Paz,,https://clubcantamar.com/,,,,,,,,Resort-based dive operation,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Baja California Sur – La Paz,La Paz,Cortez Expeditions,Operator (Scuba Charter),La Paz,,https://cortezexpeditions.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Baja California Sur – La Paz,La Paz,Dive in La Paz,Operator (Scuba Charter),La Paz,,https://www.diveinlapaz.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Baja California Sur – La Paz,La Paz,Fun Baja,Operator (Scuba Charter),La Paz,,https://www.funbaja.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – La Paz,La Paz,La Paz Divers,Operator (Scuba Charter),La Paz,,https://lapazdivers.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Baja California Sur – La Paz,La Paz,Sunrider Adventures (Scuba),Operator (Scuba Charter),La Paz,,https://sunrider.com.mx/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Baja California Sur – La Paz,La Paz,The Baja Adventure Co.,Operator (Scuba Charter),La Paz,,https://thebajaadventureco.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – La Paz,La Paz,The Cortez Club,Operator (Scuba Charter),La Paz,,https://cortezclub.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Loreto,Loreto,Blue Nation Baja (Loreto),Operator (Scuba Charter),Loreto,,https://www.bluenationbaja.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Baja California Sur – Loreto,Loreto,Dolphin Dive Baja (Loreto),Operator (Scuba Charter),Loreto,,https://www.dolphindivebaja.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Baja California Sur – San José del Cabo,San José del Cabo,East Cape Explorers,Operator (Scuba Charter),San José del Cabo,"Retorno Atun Sin Numero, Col. La Playita, Fte la Marina, San José del Cabo, 23403, Baja California Sur, Mexico",https://www.eastcapeexplorers.com/,+52 624 242 6170,,https://www.tripadvisor.ca/ShowUserReviews-g152516-d5775137-East_Cape_Explorers-San_Jose_del_Cabo_Los_Cabos_Baja_California.html,,,,,,Mexico Wave 5 Add,2025-08-14 01:20:26 UTC,
Mexico,Colima – Manzanillo,Manzanillo,Natura Dive Manzanillo,Operator (Scuba Charter),Manzanillo,,https://naturadive.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Guerrero – Acapulco,Acapulco,Dive Acapulco,Operator (Scuba Charter),Acapulco,,https://diveacapulco.com.mx/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Guerrero – Zihuatanejo/Ixtapa,Zihuatanejo / Ixtapa,Carlo Scuba Diving Center,Operator (Scuba Charter),Zihuatanejo / Ixtapa,,https://www.carloscuba.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Guerrero – Zihuatanejo/Ixtapa,Zihuatanejo / Ixtapa,Zihuatanejo Dive Center,Operator (Scuba Charter),Zihuatanejo / Ixtapa,,https://zihuatanejodivecenter.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Jalisco – Puerto Vallarta,Puerto Vallarta,Banderas Scuba Republic,Operator (Scuba Charter),Puerto Vallarta,,https://scubarepublic.com.mx/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Jalisco – Puerto Vallarta,Puerto Vallarta,Chico’s Dive Shop (PV),Operator (Scuba Charter),Puerto Vallarta,,https://www.chicosdiveshop.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Jalisco – Puerto Vallarta,Puerto Vallarta,Eco Divers Vallarta,Operator (Scuba Charter),Puerto Vallarta,,https://www.ecodiversvallarta.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Jalisco – Puerto Vallarta,Puerto Vallarta,PADI Vallarta Adventures (Scuba),Operator (Scuba Charter),Puerto Vallarta,,https://www.vallarta-adventures.com/en/tour/scuba-diving,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
