Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
1000 Steps,Beach,Bonaire,,,San Carlos Beach (Breakwater),Beach,USA,,,,Devil’s Den,Cavern/Cave,USA,,,Molasses,Geographic Site,USA,,,Alexander Springs,Lake,USA,,MUSA Underwater Museum,Other,Mexico,,,USNS General Hoyt S. Vandenberg,Wreck,USA
7 Mile,Geographic Site,South Africa,,,Point Lobos - Whalers Cove,Beach,USA,,,,Ginnie Springs - Devil’s Eye/Devil’s Ear,Cavern/Cave,USA,,,Christ of the Abyss (Dry Rocks),Geographic Site,USA,,,Silfra Fissure,Lake,Iceland,,Frederiksted Pier,Other,,,,USS Spiegel Grove,Wreck,USA
Abrolhos Archipelago - Chapeirão,Geographic Site,Brazil,,,Bluefish Cove (Point Lobos),Beach,USA,,,,Morrison Springs,Cavern/Cave,USA,,,Alligator,Geographic Site,USA,,,Barracuda Lake,Lake,Philippines,,Christ of the Abyss (San Fruttuoso),Other,Italy,,,USCGC Duane,Wreck,USA
Abrolhos Archipelago - Naufragio Rosalinda,Wreck,Brazil,,,Lovers Point,Beach,USA,,,,Vortex Spring,Cavern/Cave,USA,,,Looe Key,Geographic Site,USA,,,Lake Tahoe - Rubicon Wall,Lake,USA,,Museo Atlántico,Other,Spain,,,USCGC Bibb,Wreck,USA
Abrolhos Archipelago - Parcel dos Abrolhos,Geographic Site,Brazil,,,Monastery Beach,Beach,USA,,,,Devil’s Throat,Cavern/Cave,Mexico,,,Sombrero,Geographic Site,USA,,,Lake Baikal - Under - Ice Diving,Lake,Russia,,Secret Bay (Muck),Other,Philippines,,,Thunderbolt,Wreck,USA
Abu Dabbab,Geographic Site,Egypt,,,Monastery North (The Finger),Beach,USA,,,,Tajma Ha (Taj - Mahal) Cenote,Cavern/Cave,Mexico,,,Carysfort,Geographic Site,USA,,,Grüner See,Lake,Green Lake,,Navy Pier,Other,Australia,,,The Eagle,Wreck,USA
Abu Dabbab (Dugong Bay),Geographic Site,Egypt,,,Casino Point Dive Park,Beach,USA,,,,Dos Ojos Cenote,Cavern/Cave,Mexico,,,Santa Rosa Wall,Geographic Site,Mexico,,,Kreidesee Hemmoor,Lake,,,Rapid Bay Jetty,Other,Australia,,,Benwood,Wreck,USA
Adolphus Busch Sr.,Wreck,USA,,,La Jolla Shores,Beach,USA,,,,The Pit (El Pit) Cenote,Cavern/Cave,Mexico,,,Palancar,Geographic Site,Mexico,,,Capernwray Quarry,Lake,,,Edithburgh Jetty,Other,Australia,,,USS Oriskany,Wreck,USA
Aida Wreck,Wreck,Egypt,,,La Jolla Cove,Beach,USA,,,,Angelita Cenote,Cavern/Cave,Mexico,,,Columbia,Geographic Site,Mexico,,,Lac du Bourget - Les Moines,Lake,France,,Blairgowrie Pier,Other,Australia,,,HMCS Yukon,Wreck,USA
Airport Wall,Geographic Site,Dominican Republic,,,Shaw’s Cove,Beach,USA,,,,Gran Cenote,Cavern/Cave,Mexico,,,Barracuda,Geographic Site,Mexico,,,Rummu Quarry,Lake,Estonia,,Keystone Jetty,Other,USA,,,Ruby E (Cutter),Wreck,USA
Akitsushima,Wreck,Philippines,,,Crescent,Beach,USA,,,,Carwash (Aktun Ha) Cenote,Cavern/Cave,Mexico,,,Paradise,Geographic Site,Mexico,,,White Star Quarry,Lake,USA,,Edmonds Underwater Park,Other,USA,,,Fang Ming,Wreck,Mexico
Al Lith - Five Sisters,Geographic Site,Saudi Arabia,,,Fisherman’s Cove,Beach,USA,,,,Calavera (Temple of Doom) Cenote,Cavern/Cave,Mexico,,,Cabo Pulmo National Park,Geographic Site,Mexico,,,Dutch Springs (Lake Hydra),Lake,USA,,Yonaguni Monument,Other,Japan,,,Salvatierra,Wreck,Mexico
Aldabra,Geographic Site,Seychelles,,,Blue Heron Bridge (Phil Foster Park),Beach,USA,,,,Dreamgate Cenote,Cavern/Cave,Mexico,,,Los Islotes (Sea Lions),Geographic Site,Mexico,,,Gilboa Quarry,Lake,USA,,Dinah’s Beach,Other,Papua New Guinea,,,SS Sapona,Wreck,Bahamas
Alexander Springs,Lake,USA,,,Salt Pier,Beach,Bonaire,,,,Chikin Ha Cenote,Cavern/Cave,Mexico,,,El Bajo Seamount,Geographic Site,Mexico,,,Lake Constance,Lake,Überlingen Wall,,Hanifaru,Other,Maldives,,,Austin Smith,Wreck,Bahamas
Älgön,Geographic Site,Sweden,,,1000 Steps,Beach,Bonaire,,,,El Eden (Ponderosa) Cenote,Cavern/Cave,Mexico,,,Roca Partida,Geographic Site,Mexico,,,Walchensee,Lake,Galerie,,Mabul Artificial,Other,Malaysia,,,Ray of Hope,Wreck,Bahamas
Alice in Wonderland,Beach,Bonaire,,,Bari,Beach,Bonaire,,,,Nohoch Nah Chich System,Cavern/Cave,Mexico,,,El Boiler,Geographic Site,Mexico,,,Attersee,Lake,Hinkelsteine,,Kapalai House,Other,Malaysia,,,James Bond Wrecks (Tears of Allah),Wreck,Bahamas
Alice in Wonderland,Geographic Site,Bahamas,,,Karpata,Beach,Bonaire,,,,Sistema Sac Actun,Cavern/Cave,Mexico,,,The Canyon (El Canyon),Geographic Site,Mexico,,,Traunsee,Lake,Schlierwand,,Nudi Falls,Other,Indonesia,,,Kittiwake,Wreck,Cayman Islands
Alimatha House Reef (Nurse Shark Night),Geographic Site,Maldives,,,Director’s,Beach,Curaçao,,,,Ox Bel Ha System,Cavern/Cave,Mexico,,,Great Blue Hole,Geographic Site,Belize,,,Grüner See,Lake,,,Hairball,Other,Indonesia,,,Captain Keith Tibbetts (356),Wreck,Cayman Islands
Aliwal Shoal,Geographic Site,South Africa,,,Playa Kalki (Alice in Wonderland),Beach,Curaçao,,,,Inland Sea & Tunnel,Cavern/Cave,Malta,,,Half Moon Caye Wall,Geographic Site,Belize,,,Stoney Cove Quarry,Lake,,,Police Pier,Other,Indonesia,,,Hilma Hooker,Wreck,Bonaire
Alligator,Geographic Site,USA,,,El Cabrón Marine Reserve,Beach,Spain,,,,Grotta del Nereo,Cavern/Cave,Italy,,,Hol Chan Cut,Geographic Site,Belize,,,Dorothea Quarry,Lake,,,Laha 1,Other,Indonesia,,,Tugboat,Wreck,Curaçao
Amanyara Wall,Geographic Site,Turks and Caicos,,,Green,Beach,Cyprus,,,,Cathedral (La Cueva),Cavern/Cave,Spain,,,Shark Ray Alley,Geographic Site,Belize,,,Vivian Quarry,Lake,,,Twilight Zone,Other,Indonesia,,,Superior Producer,Wreck,Curaçao
Amed Pyramids,Other,Indonesia,,,Port Noarlunga,Beach,Australia,,,,Caves & Tunnels,Cavern/Cave,Cyprus,,,Dean’s Blue Hole,Geographic Site,Bahamas,,,Loch Long,Lake,A Frames,,Kakaban Jellyfish Lake,Other,Indonesia,,,Bianca C,Wreck,Grenada
Anaho,Geographic Site,French Polynesia,,,Whytecliff Park,Beach,Canada,,,,The Canyon,Cavern/Cave,Egypt,,,Tiger Beach,Geographic Site,Bahamas,,,Loch Fyne,Lake,Stallion Rock,,San Miguel Pyramids,Other,Philippines,,,Veronica L,Wreck,Grenada
Anchor,Geographic Site,St. Vincent,,,Porteau Cove,Beach,Canada,,,,Koh Haa - Cathedral,Cavern/Cave,Thailand,,,Bloody Bay Wall,Geographic Site,Cayman Islands,,,Loch Ness,Lake,Urquhart,,Secret Bay (Mainit),Other,Philippines,,,Stavronikita,Wreck,Barbados
