Dive Shop,Address,Website,City,State,Country,Region,Phone Number,Email,Dive Courses,Rental Gear,Gases,Type,Dive Sites,Helper,Notes,
Aaron's Dive Shop,"307 Hahani St, Kailua 96734",https://aaronsdiveshop.com/,Kailua,Hawaii,United States,North America, +1 808-262-2333 , info@aaronsdiveshop.com ,"Scuba Diver, Discover Scuba Diving, Open Water Diver, Advanced Open Water Diver, Rescue Diver, Junior Open Water Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Marine Ecology, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Master Scuba Diver Trainer, Course Director","BCD, Regulator, Snorkel","Hydrox, Nitrox",Dive Shop,"Sea Tiger, Navy Tug, YO - 257 & San Pedro, Oahu - Nautilus, EWA Pinnacles, Kewalo Pipe, Horseshoe Reef",,,
Abbeville Plongée Scub'Abb,"4 Clemenceau, 80100 Abbeville",https://www.scubabb.fr/,Abbeville,Hauts-de-France,France,Europe, +33 6 10 67 28 30 , abbevilleplongee@gmail.com ,Discover Scuba Diving,None listed,,Dive Shop,,,,
Absolute Scuba Bali,"Jl. Pantai Silayukti Padangabai, Bali 80872, Indonesia",https://absolutescubabali.com/,Padangbai,Bali,Indonesia,Southeast Asia,+62 363 42088, info@absolutescubabali.com ,"Scuba Diver, Open Water Diver, Enriched Air Nitrox, Advanced Open Water Diver, Rescue Diver, Divemaster, Try Scuba / Intro Scuba, Advanced Adventurer","BCD, Regulator, Fins, Mask, Boots, Snorkel, Wetsuit",Nitrox,Dive Resort,"USAT Liberty, Padang Bai, Amed, Mimpang, Tepekong, Gili Biaja, Manta Point, Crystal Bay, Nusa Penida, Kubu",,,
Abyss Plongée,"21 Imp. du Globe, 34300 le Cap d Agde, France",https://www.abyssplongee.com,Cap d'Agde,Hérault,France,Europe, +33 (0)4 67 01 50 54 , abyssplongee34@gmail.com ,"Open Water Diver, Open Water Scuba Diver, Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor","Wetsuit, BCD, Regulator",Nitrox,Dive Shop,"Les 3 Pics, La Muraillette, Le Vivier, Le Casier Maya, Le Cable, Cap d'Agde",,,
Acquatica Scuba ASD,"Via Musone, 5/5, 65129 Pescara PE, Italy",https://www.acquaticascuba.it,Pescara,PE,Italy,Europe, +39 328 441 0287 , info@acquaticascuba.it ,"Open Water Diver, Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Introductory Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Enriched Air Nitrox, Wreck Diver, Night Diver, Underwater Navigator, Dry Suit Diver, Divemaster",Drysuit,Nitrox,Dive Shop,"Job's Shelter, Acquabella Point, Fossacesia Vaporetto, 1000 Steps",,,
Action Adventure Divers,"Hummingbird Beach Resort, Anse Chastanet Road, Soufriere, LC",http://www.aadivers.net,Soufriere,Soufrière,Saint Lucia,Caribbean, +1 758-485-1317 , info@aadivers.net ,"Open Water Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Deep Diver, Night Diver, Underwater Navigator, Divemaster",,Nitrox,"Dive Resort, Dive Shop","Superman’s Flight, Keyhole Pinnacles, Turtle, The Pitons Wall, Malgretoute, Tou Diable, Grand Caille, Fairyland",,,
Actisub Plongee,"Quai de l Aliso, 20217 Saint-Florent, France",https://www.actisub.com,Saint-Florent,Corsica,France,Europe, +33 6 12 10 29 71 , actisub@yahoo.fr ,"Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver","Wetsuit, Regulator, Drysuit, Dive Computer, Mask, Fins, BCD, Snorkel",,Dive Shop,Gulf of Saint Florent,,,
Adang Sea Divers,"Ko Tarutao, Koh Lipe, Satun 91110, Thailand",https://www.adangseadivers.com/,Koh Lipe,Satun,Thailand,Southeast Asia, +66 (0) 900 700 233 , adangseadivers@gmail.com ,"Try Scuba / Intro Scuba, Open Water Diver, Scuba Diver, Wreck Diver, Advanced Adventurer, Stress & Rescue Diver, Deep Diver, Enriched Air Nitrox, Divemaster, Discover Scuba Diving, Introductory Scuba","Wetsuit, Regulator, Fins, Mask, BCD, Snorkel, Dive Computer",Nitrox,Dive Resort,"Tarutao National Marine Park, 8 Mile Rock, Stonehenge, Talang Bay, Honeycomb Reef",,,
Adora,"Maldives Boat Club Pvt Ltd, Lot 10105, Ground Floor, Dhigga Magu, Malé 20292, Maldives",https://www.Maldivesboatclub.com/adora/,Malé,Kaafu Atoll,Maldives,South Asia, +960 755-4811 , nfo@Maldivesboatclub.com ,,,Nitrox,Liveaboard,"North Male, South Male, Vaavu, Meemu, South Ari, Shaviyani, Noonu, Baa, Raa, Lhaviyani, Addu, Fuvahmulah, Gaafu Dhaalu, Gaafu Alif, Laamu, Thaa, North Ari",,,
Adventure Divers Bali,"JI, Amed, Jl. I Ketut Natih, Purwakerti, Kabupaten Karangasem, Bali 80852, Indonesia",http://www.adventurediversbali.com/,Amed,Bali,Indonesia,Southeast Asia, +62 (0)81 353 136 113 , adventurediversbali@gmail.com ,"Open Water Diver, Open Water Scuba Diver, Discover Scuba Diving, Try Scuba / Intro Scuba, Advanced Open Water Diver, Advanced Adventurer, Rescue Diver, Divemaster, Wreck Diver, Deep Diver","Wetsuit, Regulator, Fins, Mask, BCD, Boots, Snorkel",Nitrox,Dive Shop,"Amed, USAT Liberty Wreck, Tulamben Drop - Off, Nusa Penida, Lembongan",,,
Adventure Scuba,"1737 York Ave, New York, NY 10128",https://adventurescubany.com/,New York City,New York,United States,North America, 212-876-3483 , info@adventurescubany.com ,"Open Water Diver, Enriched Air Nitrox, Advanced Adventurer, Rescue Diver, Discover Scuba Diving, Dry Suit Diver, Advanced Open Water Diver, Divemaster","Wetsuit, Regulator, Gloves, BCD, Drysuit, Hood, Fins, Mask, Snorkel, Boots",Nitrox,Liveaboard,Lake Hydra,,,
Diventures,"5225 S Campbell Ave Springfield, MO 65810",https://www.scubava.com/,Springfield,Missouri,United States,North America, 417 883 5151 , springfield@diventures.com ,"Open Water Diver, Advanced Adventurer, Advanced Open Water Diver, Wreck Diver, Deep Diver, Enriched Air Nitrox, Night Diver, Underwater Navigator, Dry Suit Diver, Marine Ecology, Divemaster, Divemaster / Assistant Instructor, Open Water Scuba Instructor, Try Scuba / Intro Scuba","BCD, Drysuit, Mask, Regulator",Nitrox,Dive Shop,,,,
