Alpha Dive,"2-95 Miyagi, Chatan, Nakagami District, Okinawa 904-0113, Japan",https://www.a-diveokinawa.com/,Chatan,Okinawa,Japan,East Asia,+81 070-8468-4487, alphadive.booking@gmail.com ,,"BCD, Regulator, Mask, Snorkel, Fins, Dive Computer, Wetsuit",,Dive Shop / Day Trip,"Kerama Islands, Onna, Manza, Cape Maeda, Aguni Island, Tonaki Island, Minna Island, Sesoko Island, Ie Island, Cape Hedo, USS Emmons, Blue Cave"
Blue Magic,"201 2 Chome-23-22, Uchima, Urasoe, Okinawa 901-2121, Japan",http://bluemagicsds.com/,Uchima,Okinawa,Japan,East Asia, +81 90-8012-8349 , info@bluemagicsds.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Divemaster","Regulator, BCD, Mask, Fins, Boots, Snorkel, Wetsuit, Dive Computer, Flashlight, Camera",,Dive Shop / Day Trip,"Kerama Islands, Manza, USS Emmons, Aguni Island, Whale Shark Dive, Tonaki Island, Cape Hedo, The Triangle"
Dive Centre Okinawa 39ers,"Hamagawa 185-1, Chatan-cho, Nakagamigun, Okinawa 904-0112",http://www.okinawa39ers.com/,Chatan-cho,Okinawa,Japan,East Asia, +81 80-2085-9138 , info@okinawa39ers.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Divemaster, Master Scuba Diver Trainer","BCD, Regulator, Wetsuit, Dive Computer, Mask, Boots, Fins",Nitrox,Dive Shop / Day Trip,"Iheya Island, Cape Hedo, USS Emmons, Manza, Cape Maeda, Zanpa, Tengan Pier, Sunabe, Itoman, Kerama Islands, Tonaki Island, Aguni Island"
Divers 7,"2288-247 Nakama, Onna, Kunigami District, Okinawa 904-0401, Japan",http://www.divers7okinawa.com/,Onna,Okinawa,Japan,East Asia, +81 98-967-7050 , info@divers7okinawa.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Deep Diver, Enriched Air Nitrox, Divemaster, Open Water Scuba Instructor, Tec 40","Mask, Snorkel, Fins, Boots, Wetsuit, BCD, Regulator, Dive Computer, Flashlight",Nitrox,Dive Shop / Day Trip,"Kerama Islands, Cape Hedo, USS Emmons, Mermaid Grotto, Ie Island, Minna Island, Sesoko Island, Cape Manza, Cape Maeda, Sunabe, Gorilla Chop, Whale Shark Dive"
English Empire Divers Okinawa,"169 Tokeshi, Yomitan, Okinawa 904-0326, Japan",http://englishempiredivers.com/,Yomitan,Okinawa,Japan,East Asia,+81 90-8777-1983, englishempiredivers@outlook.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Divemaster","BCD, Regulator, Wetsuit, Fins, Mask, Flashlight, Dive Computer",,Dive Shop / Day Trip,"Kerama Islands, Manza, Onna, USS Emmons, Cape Hedo, Minna Island, Sesoko Island, Sunabe, Tengan Pier, Motobu, Zampa, Nakijin"
Isles,"879 Fuchaku, Onna, Kunigami District, Okinawa 904-0413, Japan",https://www.isles-dc.com/,Onna,Okinawa,Japan,East Asia, +81 90-9095-7644 , isles.dc@gmail.com ,"Open Water Diver, Advanced Open Water Diver","BCD, Regulator, Wetsuit, Fins, Mask, Snorkel, Boots",,Dive Shop / Day Trip,"Onna, Cape Manza, Zanpa, Kerama Islands, Itoman, USS Emmons, Blue Cave, Whale Shark Dive"
Lagoon Dive Shop,"339 Onna, Kunigami District, Okinawa 904-0411, Japan",https://lagoon-diving.com/,Onna,Okinawa,Japan,East Asia, +81 98-966-2818 , info@lagoon-diving.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Enriched Air Nitrox","Wetsuit, Regulator, Fins, Gloves, Mask, BCD, Hood, Dive Computer",,Dive Shop / Day Trip,Manza
Okidives,"1-217 Miyagi, Chatan, Nakagami District, Okinawa 904-0113, Japan",https://www.okidives.com/,Chatan,Okinawa,Japan,East Asia, +81 70-2795-7539 , okidive@gmail.com ,"Open Water Diver, Advanced Open Water Diver, Enriched Air Nitrox, Rescue Diver",,,Dive Shop / Day Trip,Yonaguni Island
Okinawa Diving Center,"29-1 Maeganeku, Onna Village, Kunigami District, Okinawa Prefecture, 904-0414",https://okinawadc.com/,Onna Village,Okinawa,Japan,East Asia, +81 98-965-4700 , info@okinawadc.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Enriched Air Nitrox","BCD, Regulator, Wetsuit, Mask, Snorkel, Fins",,Dive Shop / Day Trip,"Cape Maeda, Yamada, Cape Manza, USS Emmons"
Okinawa Diving Shop Sensuiya,"3 Chome-11-19 Akebono, Naha, Okinawa 900-0002, Japan",http://www.okinawa-d-s.com,Naha,Okinawa,Japan,East Asia, +81 98-988-9398 , info@okinawa-ds.com ,"Open Water Diver, Advanced Open Water Diver, Rescue Diver, Enriched Air Nitrox","Dive Computer, Regulator, BCD, Wetsuit, Camera, Gloves, Boots, Fins, Mask, Hood",Nitrox,Dive Shop / Day Trip,Kerama Islands
Reef Encounters,"1-493 Miyagi, Okinawa City, Nakagami District, Okinawa 904-0113, Japan",http://www.reefencounters.org/,Okinawa City,Okinawa,Japan,East Asia, +81 98-995-9414 , info@reefencounters.org ,"Advanced Scuba Diver, Rescue Scuba Diver, Master Scuba Diver Trainer, Enriched Air Nitrox, Deep Diver, Wreck Diver, Night Diver, Divemaster / Assistant Instructor","Regulator, BCD, Wetsuit, Fins, Boots, Mask, Snorkel, Dive Computer, Flashlight, Camera, Hood",Nitrox,Dive Shop / Day Trip,"Labyrinth, Paradiso, Kamiyama North, Nagannu Island, MaeJima South, Twin Rocks, Manta Point, Ugan, Dragon Lady, Tokashiki Island, Sunabe Sea Wall, Onna Village Area, Motobu, USS Emmons, Cape Hedo, Rukan Atoll"
