country,province,area_city,shop_name,website,email,address,meets_final4,google_rating,google_reviews_count,google_maps_url,tripadvisor_rating,tripadvisor_reviews_count,tripadvisor_url,last_review_check_utc,google_reviews_link,region_province,city_area,explicitly_states_scuba,source_urls
South Africa,Western Cape,Simon's Town,Pisces Divers,https://piscesdivers.co.za/,info@piscesdivers.co.za,"Goods Shed, 1 Main Road, Simon's Town, Cape Town, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Paarden Eiland (Cape Town),Dive Action,https://www.diveaction.co.za/,info@diveaction.co.za,"22 Carlisle St, Paarden Eiland, Cape Town, 7405, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Sea Point (Cape Town),Into the Blue Scuba Dive Centre,https://www.diveschoolcapetown.co.za/,info@intotheblue.co.za,"88 Main Road, Sea Point, Cape Town, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Strand,Alpha Dive Centre,https://www.alphadivecentre.co.za/,scuba@alphadivecentre.co.za,"96 Main Road, Strand, 7140, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Gordon's Bay (Cape Town),Indigo Scuba Diving Centre,https://www.indigoscuba.com/,info@indigoscuba.com,"16 Blue Gum Avenue, Mountainside, Gordon's Bay, Cape Town, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Simon's Town,Dive Team - Cape Town,https://diveteam.co.za/,info@diveteam.co.za,"66 St Georges St, Simon's Town, Cape Town, 7975, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Capri (Cape Town),Scuba Shack Diving Cape Town,https://scubashack.co.za/,bookings@scubashack.co.za,"16 Corfu Ave, Capri, Cape Town, 7975, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Simon's Town,Impact Divers,https://impactdivers.com/,info@impactdivers.com,"117 St George's St, Simon's Town, Cape Town, 7995, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,Western Cape,Gordon's Bay (Cape Town),Just Africa Scuba,https://www.justscuba.co.za/,info@justscuba.co.za,"Shop 2, Krystal Beach Hotel, 9 Breakwater Lane, Harbour Island, Gordon's Bay, Cape Town, 7140, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,,,,
South Africa,,,ProDive Plettenberg Bay,https://prodiveplett.co.za/,info@prodiveplett.co.za,"Beacon Isle Resort, Beacon Isle Drive, Plettenberg Bay, 6600, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,Western Cape – Garden Route,Plettenberg Bay,True,https://prodiveplett.co.za/ | https://prodiveplett.co.za/contact-us/
South Africa,,,Garden Route Scuba,https://www.gardenroutescuba.co.za/,gardenroutescuba@gmail.com,"40 Marsh Street, Mossel Bay, 6500, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,Western Cape – Garden Route,Mossel Bay,True,https://www.gardenroutescuba.co.za/contact | https://www.padi.com/dive-center/south-africa/garden-route-scuba/
South Africa,,,Go Dive Mossel Bay,https://godive.co.za/,scuba@godive.co.za,"7 Church Street, Mossel Bay, 6500, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,Western Cape – Garden Route,Mossel Bay,True,https://godive.co.za/contact/ | https://visitmosselbay.co.za/listing/go-dive/
South Africa,,,Electrodive,https://www.electrodive.co.za/,info@electrodive.co.za,"Quay 4, Mossel Bay Harbour, Lower Church Street, Mossel Bay, 6506, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,Western Cape – Garden Route,Mossel Bay (Harbour),True,https://decodivingequipment.com/contact-us/ | https://www.west2wildcoast.co.za/listing/electrodive
South Africa,,,Langebaan Divers,https://langebaandivers.co.za/,langebaandivers@gmail.com,"Club Mykonos Resort, Mykonos Access Road, Langebaan, 7357, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,Western Cape – West Coast,Langebaan (Club Mykonos),True,https://www.facebook.com/LangebaanDivers/ | https://www.divessi.com/en/divecenter/langebaan-divers-south-africa-772035 | https://www.clubmykonosproperties.co.za/template/ContactUs.vm
South Africa,,,Pro Dive Port Elizabeth,https://prodivepe.co.za,scuba@prodivepe.co.za,"189 Main Road, Walmer, Port Elizabeth, 6070, South Africa",True,,,https://www.google.com/maps/search/?api=1&query=Pro%20Dive%20Port%20Elizabeth%20Gqeberha%20%28Port%20Elizabeth%29%20Eastern%20Cape%20South%20Africa,,,https://www.tripadvisor.co.za/ShowUserReviews-g312559-d4431592-r837181432-Pro_Dive_Centre-Port_Elizabeth_Eastern_Cape.html,2025-08-17T01:55:07Z,https://www.google.com/maps/search/?api=1&query=Pro%20Dive%20Port%20Elizabeth%20Gqeberha%20%28Port%20Elizabeth%29%20Eastern%20Cape%20South%20Africa,Eastern Cape,Gqeberha (Port Elizabeth),True,https://prodivepe.co.za/port-elizabeth/ | https://www.padi.com/dive-center/south-africa/pro-dive-pe-2/
South Africa,,,Kimo Divers,https://kimodivers.com,kimodiverspe@gmail.com,"10 Albert Road, Walmer, Port Elizabeth, 6070, South Africa",True,,,https://www.google.com/maps/search/?api=1&query=Kimo%20Divers%20Gqeberha%20%28Port%20Elizabeth%29%20Eastern%20Cape%20South%20Africa,,,,2025-08-17T01:55:07Z,https://www.google.com/maps/search/?api=1&query=Kimo%20Divers%20Gqeberha%20%28Port%20Elizabeth%29%20Eastern%20Cape%20South%20Africa,Eastern Cape,Gqeberha (Port Elizabeth),True,https://www.padi.com/dive-center/south-africa/kimo-divers/
South Africa,,,Raggy Charters (Scuba & Courses),https://www.raggycharters.co.za,info@raggycharters.co.za,"Nelson Mandela Bay Yacht Club, Dom Pedro Jetty, Port Elizabeth, Eastern Cape, 6001, South Africa",True,,,https://www.google.com/maps/search/?api=1&query=Raggy%20Charters%20%28Scuba%20%26%20Courses%29%20Gqeberha%20%28Port%20Elizabeth%29%20Eastern%20Cape%20South%20Africa,,,https://www.tripadvisor.com.sg/Attraction_Review-g312559-d2322404-Reviews-or40-Raggy_Charters-Port_Elizabeth_Eastern_Cape.html,2025-08-17T01:55:07Z,https://www.google.com/maps/search/?api=1&query=Raggy%20Charters%20%28Scuba%20%26%20Courses%29%20Gqeberha%20%28Port%20Elizabeth%29%20Eastern%20Cape%20South%20Africa,Eastern Cape,Gqeberha (Port Elizabeth),True,https://www.raggycharters.co.za/page/activities | https://www.raggycharters.co.za/
South Africa,,,Offshore Africa Port St John's,https://offshoreportstjohns.com,info@offshoreportstjohns.com,"1565 Ferry Point Road, Port St John's, 5120, South Africa",True,,,https://www.google.com/maps/search/?api=1&query=Offshore%20Africa%20Port%20St%20John%27s%20Port%20St%20Johns%20%28Wild%20Coast%29%20Eastern%20Cape%20South%20Africa,,,https://www.tripadvisor.com/Attraction_Review-g480240-d8484887-Reviews-Offshore_Africa-Port_St_Johns_Eastern_Cape.html,2025-08-17T01:55:07Z,https://www.google.com/maps/search/?api=1&query=Offshore%20Africa%20Port%20St%20John%27s%20Port%20St%20Johns%20%28Wild%20Coast%29%20Eastern%20Cape%20South%20Africa,Eastern Cape,Port St Johns (Wild Coast),True,https://offshoreportstjohns.com/contact-us/ | https://www.dirtyboots.co.za/operators/offshore-africa-port-st-johns
