Country,Region/Island,Area,Type,Business Name,City/Island,Address,Website,Phone,Email,TripAdvisor URL,TA_Bubbles(5=Excellent),TA_Review_Count,Google_Stars_FirstParty,Google_Stars_Source_URL,Notes/Tags,Status,Last Checked (UTC),Contact_Source_URL,Google_Stars_FirstParty_Status,Contact_Status,Contact_LastChecked_UTC
Thailand,Phuket,Phuket,Dive Shop,Sea Bees Diving,Phuket,"1/3 Moo 9, Viset Road, Chalong, Phuket 83130, Thailand",https://www.sea-bees.com/,+66 76 381 765,info@sea-bees.com,https://www.tripadvisor.co.uk/Attraction_Review-g1389361-d1225227-Reviews-Sea_Bees_Diving_Phuket-Chalong_Phuket_Town_Phuket.html,Pending (site blocked),Pending (site blocked),,https://sea-bees.com/phuket-scuba-daytrips/,Guided dives + dayboats,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://sea-bees.com/about-us/our-dive-centers/dive-center-phuket/,No numeric published on site (Google mentioned/badge),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Dive Shop,All 4 Diving (Phuket),Phuket,"153/4 Rat Uthit 200 Pi Rd., Patong, Kathu, Phuket 83150, Thailand",https://www.all4divingphuket.com/,+66 76 344 611,philippe@all4diving.com,https://www.tripadvisor.co.uk/Attraction_Review-g297930-d2638895-Reviews-All_4_Diving_Scuba_Diving_Phuket-Patong_Kathu_Phuket.html,Pending (site blocked),Pending (site blocked),,,Guided dives + boats,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.scubadiving-phuket.com/contact-us/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Dive Shop,Dive Asia (Phuket),Phuket,"23/6 Karon Road, Karon Beach, Phuket 83100, Thailand",https://www.diveasia.com/,+66 76 330 598,[email protected],https://www.tripadvisor.co.uk/Attraction_Review-g1210687-d2695804-Reviews-Dive_Asia_SCUBA_and_Snorkeling_Day_Trips_and_PADI_Courses-Kata_Beach_Karon_Phuke.html,Pending (site blocked),Pending (site blocked),,,Guided dives + boats,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.padi.com/dive-center/thailand/dive-asia/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Operator (Scuba Charter),Local Dive Thailand,Phuket,"95/13 Moo 7, Tambon Rawai, Amphur Muang, Phuket 83130, Thailand",https://localdivethailand.com/,+66 80 696 1461; +66 62 018 0729,info@localdivethailand.com,https://www.tripadvisor.co.uk/Attraction_Review-g297934-d6367005-Reviews-Local_Dive_Thailand-Rawai_Phuket.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.localdivethailand.com/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Dive Shop,Super Divers Phuket,Phuket,"74/55 Nanai Road, Patong Beach, Phuket 83150, Thailand",https://www.superdiversphuket.com/,+66 87 624 0674; +66 80 096 9684,superdiversphuket@gmail.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://superdiversphuket.com/contact-us/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Operator (Scuba Charter),Sea Fun Divers,Phuket,"c/o Le Méridien Phuket Beach Resort, Karon Noi Beach, Phuket 83100, Thailand",https://www.seafundivers.com/,+66 81 367 4542,info@seafundivers.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.seafundivers.com/contact/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Dive Shop,Phuket Dive Tours,Phuket,,https://www.phuketdivetours.com/,+66 9 2679 2722; +66 87 022 5356,godivephuket@gmail.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.phuketdivetours.com/contact-us/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phang Nga – Khao Lak (Similan),Khao Lak,Operator (Scuba Charter),Khao Lak Scuba Adventures (Manta Queen Fleet),Khao Lak,"13/47 Moo 7, Khuk Khak, Takua Pa 82190, Phang Nga, Thailand",https://www.khaolakscubaadventures.com/,+66 83 636 1010,contact@ksaliveaboard.com,https://www.tripadvisor.co.uk/Attraction_Review-g2368218-d2098282-Reviews-Khao_Lak_Scuba_Adventures-Khuk_Khak_Khao_Lak_Takua_Pa_Phang_Nga_Province.html,Pending (site blocked),Pending (site blocked),,,Dayboats + liveaboards,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.khaolakscubaadventures.com/contact,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phang Nga – Khao Lak (Similan),Khao Lak,Operator (Scuba Charter),Sea Dragon Dive Center,Khao Lak,"5/51 Moo 7, Khuk Khak, Takua Pa, Phang Nga 82220, Thailand",https://www.seadragondivecenter.com/,+66 83 176 5873,info@seadragondivecenter.com,https://www.tripadvisor.co.uk/Attraction_Review-g297914-d1315376-Reviews-Sea_Dragon_Dive_Center-Khao_Lak_Takua_Pa_Phang_Nga_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.seadragondivecenter.com/contact-us/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phang Nga – Khao Lak (Similan),Khao Lak,Operator (Scuba Charter),Similan Diving Safaris,Khao Lak,"9/16 Moo 7, Petchkasem Rd., Khuekkhak, Takua Pa, Phang Nga 82220, Thailand",https://www.similandivingsafaris.com/,+66 76 485 470,info@similan-diving-safaris.com,https://www.tripadvisor.co.uk/Attraction_Review-g2368218-d2042470-Reviews-Similan_Diving_Safaris-Khuk_Khak_Khao_Lak_Takua_Pa_Phang_Nga_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.similan-diving-safaris.com/index.html,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,Big Blue Diving Koh Tao,Koh Tao,"14/148 Moo 1, Koh Tao, Surat Thani 84360, Thailand",https://www.bigbluediving.com/,+66 77 456 415,info@bigbluediving.com,https://www.tripadvisor.co.uk/Attraction_Review-g303910-d1759686-Reviews-Big_Blue_Diving_Koh_Tao-Koh_Tao_Surat_Thani_Province.html,Pending (site blocked),Pending (site blocked),5/5,https://www.bigbluediving.com/blog/koh-tao-trip-advisor/,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.bigbluediving.com/contact-us/,Numeric present (first-party claim),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Operator (Scuba Charter),Ban’s Diving Resort,Koh Tao,"Sairee Beach, Koh Tao 84360, Thailand",https://www.bansdivingresort.com/,+66 77 456 466,info@bansdivingresort.com,https://www.tripadvisor.co.uk/Attraction_Review-g303910-d3966087-Reviews-Ban_s_Diving-Koh_Tao_Surat_Thani_Province.html,Pending (site blocked),Pending (site blocked),,,Resort dive center,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.bansdivingresort.com/en/contact-us/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,Master Divers,Koh Tao,"25/8 Moo 2, Mae Haad, Koh Tao 84360, Thailand",https://master-divers.com/,+66 92 618 5637,info@master-divers.com,https://www.tripadvisor.co.uk/Attraction_Review-g303910-d1940572-Reviews-Master_Divers-Koh_Tao_Surat_Thani_Province.html,Pending (site blocked),Pending (site blocked),,https://www.master-divers.com/contact/,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.master-divers.com/contact/,No numeric published on site (Google mentioned/badge),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,Sairee Cottage Diving,Koh Tao,"Sairee Beach, Koh Tao 84360, Thailand",https://www.saireecottagediving.com/,+66 77 456 374,info@saireecottagediving.com,https://www.tripadvisor.co.uk/Attraction_Review-g303910-d3418676-Reviews-Sairee_Cottage_Diving-Koh_Tao_Surat_Thani_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.padi.com/dive-center/thailand/sairee-cottage-diving/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,Roctopus Dive,Koh Tao,"17 Moo 1, Koh Tao, Ko Pha-ngan District, Surat Thani 84360, Thailand",https://www.roctopusdive.com/,+66 99 470 4566,info@roctopusdive.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.roctopusdive.com/contact,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,French Kiss Divers (Koh Tao),Koh Tao,"25/3 Moo 2, Mae Haad, Koh Tao, Surat Thani 84360, Thailand",https://frenchkissdiving.com/koh-tao-diving/,+66 64 127 6082,frenchkissdivers@gmail.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.frenchkissdivers.com/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,New Way Diving,Koh Tao,,https://www.newwaydiving.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Operator (Scuba Charter),Assava Dive Resort,Koh Tao,,https://assavadivers.com/,,,,,,,,Resort dive center,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,Scuba Junction,Koh Tao,,https://scubajunctiondiving.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
