Country,Type,Name,Operator,Vessel,Website,Email,Business Address,Island/Region,City/Town,Embark Port,Disembark Port,Explicitly States Scuba,TripAdvisor_URL,Google_Maps_URL,TripAdvisor Rating,TripAdvisor Reviews,Google Rating,Google Reviews,Ratings_AsOf,Ratings_Source_Notes,Last Verified,Notes
Turks and Caicos,Land-based,Aqua TCI,,,https://www.aquatci.com/,aquatci@live.com,"Harbour Club Villas & Marina, Venetian Rd, Providenciales TKCA 1ZZ",Turks & Caicos,,,,Yes,https://www.tripadvisor.co.nz/ShowUserReviews-g147399-d6784157-r931644226-Aqua_TCI-Providenciales_Turks_and_Caicos.html,https://wanderlog.com/place/details/2292710/aqua-tci,,,,162.0,,,,Small-group diving; explicit scuba
Turks and Caicos,Land-based,Big Blue Collective (Big Blue Unlimited),,,https://bigbluecollective.com/,info@bigbluecollective.com,"Leeward Marina, Providenciales TKCA 1ZZ",Turks & Caicos,,,,Yes,https://en.tripadvisor.com.hk/ShowUserReviews-g147399-d614248-r488403089-Big_Blue_Collective-Providenciales_Turks_and_Caicos.html,https://wanderlog.com/place/details/2173154/big-blue-collective,,,,590.0,,,,Eco tours + scuba; explicit diving page
Turks and Caicos,Land-based,Blue Water Divers,,,http://www.grandturkscuba.com/,info@grandturkscuba.com,"Front Street, Cockburn Town, Grand Turk TKCA 1ZZ",Turks & Caicos,,,,Yes,https://www.tripadvisor.co.nz/ShowUserReviews-g147397-d150113-r946984253-Blue_Water_Divers-Cockburn_Town_Grand_Turk_Turks_and_Caicos.html,https://wanderlog.com/place/details/364380/blue-water-divers,,,,79.0,,,,PADI 5 Star; wall diving
Turks and Caicos,Land-based,Bohio Dive Resort (on‑site dive shop),,,http://www.bohioresort.com/,info@bohioresort.com,"Pillory Beach, Grand Turk, Turks & Caicos",Turks & Caicos,,,,Yes,,https://wanderlog.com/place/details/40832/bohio-dive-resort,,,,,,,,Resort + on‑site diving; included for completeness
Turks and Caicos,Land-based,Caicos Adventures,,,https://www.caicosadventures.com/,divucrzy@tciway.tc,"Providenciales, Turks & Caicos TKCA 1ZZ",Turks & Caicos,,,,Yes,,https://drivelocal.io/grace-bay-beach-6615d99df791868c7cc86201/location/caicos-adventures-6615f1e304ad90230d2a62dd,,,,55.0,,,,Scuba center; French Cay/West Caicos trips
Turks and Caicos,Land-based,Dive Provo,,,https://diveprovo.com/,diving@diveprovo.com,"Salt Mills Plaza, Grace Bay Beach, Providenciales, Turks & Caicos",Turks & Caicos,,,,Yes,https://en.tripadvisor.com.hk/ShowUserReviews-g147399-d148447-r149132220-Dive_Provo-Providenciales_Turks_and_Caicos.html,https://wanderlog.com/place/details/2173106/dive-provo,,,,378.0,,,,Meets Final 4 requirements; explicit scuba diving on site
Turks and Caicos,Land-based,Flamingo Divers,,,https://www.flamingodivers.com/,dive@flamingodivers.com,"Southside Marina, Venetian Rd, Providenciales TKCA 1ZZ",Turks & Caicos,,,,Yes,https://en.tripadvisor.com.hk/ShowUserReviews-g147399-d637170-r629924432-Flamingo_Divers-Providenciales_Turks_and_Caicos.html,,,,,,,,,Boutique scuba operator; 6 divers max
Turks and Caicos,Land-based,Grand Turk Diving Company,,,https://gtdiving.com/,info@gtdiving.com,"P.O. Box 84, Grand Turk, Turks & Caicos TKCA 1ZZ",Turks & Caicos,,,,Yes,https://en.tripadvisor.com.hk/ShowUserReviews-g147397-d775219-r275984884-Grand_Turk_Diving-Cockburn_Town_Grand_Turk_Turks_and_Caicos.html,https://wanderlog.com/place/details/2223617/grand-turk-diving-company,,,,70.0,,,,Scuba + snorkel; cruise and land-based
Turks and Caicos,Land-based,Oasis Divers,,,http://www.oasisdivers.com/,info@oasisdivers.com,"1 Duke St, Cockburn Town, Grand Turk TKCA 1ZZ",Turks & Caicos,,,,Yes,https://www.tripadvisor.co.uk/Attraction_Review-g147396-d2262869-Reviews-Oasis_Divers-Grand_Turk_Turks_and_Caicos.html,,,,,,,,,Tourism directory lists oasisdiv@tciway.tc as alternate email
Turks and Caicos,Land-based,Provo Turtle Divers,,,http://www.provoturtledivers.com/,info@provoturtledivers.com,"Turtle Cove Landing, Providenciales TKCA 1ZZ",Turks & Caicos,,,,Yes,,https://wanderlog.com/place/details/2223618/provo-turtle-divers,,,,24.0,,,,Legacy dive shop at Turtle Cove Marina
