Country,Region/Island,Area,Type,Business Name,City/Island,Address,Website,Phone,Email,TripAdvisor URL,TA_Bubbles(5=Excellent),TA_Review_Count,Google_Stars_FirstParty,Google_Stars_Source_URL,Notes/Tags,Status,Last Checked (UTC),__name__,__city__,__host__
United States,Alabama – Gulf Shores,Gulf Shores,Dive Shop,Down Under Dive Shop,Gulf Shores,,https://www.downunderdiveshop.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,down under dive shop,gulf shores,downunderdiveshop.com
United States,Alaska – Inside Passage,Ketchikan,Operator,Snorkel Alaska (seasonal),Ketchikan,,https://snorkelalaska.com/,,,,,,,,Snorkel-focused; local dive ops seasonal,US Wave 1 Seed,2025-08-14 00:09:24 UTC,snorkel alaska (seasonal),ketchikan,snorkelalaska.com
United States,Alaska – Southcentral,Anchorage,Dive Shop,Dive Alaska,Anchorage,,https://divealaska.net/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,dive alaska,anchorage,divealaska.net
United States,California – Bay Area,San Francisco,Dive Shop,Bamboo Reef (San Francisco),San Francisco,,https://www.bambooreef.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,bamboo reef (san francisco),san francisco,bambooreef.com
United States,California – Bay Area,San Jose,Dive Shop,Any Water Sports,San Jose,,https://www.anywater.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,any water sports,san jose,anywater.com
United States,California – Bay Area,Santa Clara,Dive Shop,Diver Dan’s (Santa Clara),Santa Clara,,https://www.diverdans.com/,,,,,,,,,US Wave 4 Add,2025-08-14 00:09:24 UTC,diver dan's (santa clara),santa clara,diverdans.com
United States,California – Catalina Island,Avalon (Catalina),Operator (Scuba Charter),Catalina Divers Supply,Avalon (Catalina),,https://catalinadiveshop.com/,,,,,,,,Casino Point + boats,US Wave 4 Add,2025-08-14 00:09:24 UTC,catalina divers supply,avalon (catalina),catalinadiveshop.com
United States,California – Catalina Island,Avalon (Catalina),Operator (Scuba Charter),Dive Catalina,Avalon (Catalina),,https://divecatalina.net/,,,,,,,,,US Wave 4 Add,2025-08-14 00:09:24 UTC,dive catalina,avalon (catalina),divecatalina.net
United States,California – Channel Islands,Channel Islands Harbor,Operator (Scuba Charter),Raptor Dive Boat,Channel Islands Harbor,,https://www.raptordive.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,raptor dive boat,channel islands harbor,raptordive.com
United States,California – Channel Islands,Ventura,Operator,Peace Dive Boat,Ventura,,https://divethepeace.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,peace dive boat,ventura,divethepeace.com
United States,California – Channel Islands,Ventura,Operator,Spectre Dive Boat,Ventura,,https://divespectre.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,spectre dive boat,ventura,divespectre.com
United States,California – Inland Empire,Upland,Dive Shop,Scuba Schools of America & Swim,Upland,,https://www.scubaschoolsofamerica.com/,,,,,,,,,US Wave 5 Add,2025-08-14 00:09:24 UTC,scuba schools of america & swim,upland,scubaschoolsofamerica.com
United States,California – Los Angeles,Culver City,Dive Shop,Eco Dive Center,Culver City,,https://www.ecodivecenter.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,eco dive center,culver city,ecodivecenter.com
United States,California – Los Angeles,Hollywood,Dive Shop,Hollywood Divers,Hollywood,,https://www.hollywooddivers.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,hollywood divers,hollywood,hollywooddivers.com
United States,California – Los Angeles,Long Beach / San Pedro,Operator (Scuba Charter),Sundiver (Express / Charter),Long Beach / San Pedro,,https://sundiverinternational.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,sundiver (express / charter),long beach / san pedro,sundiverinternational.com
United States,California – Los Angeles,Monterey Park,Dive Shop,Ocean Safari Scuba,Monterey Park,,https://www.oceansafariscuba.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,ocean safari scuba,monterey park,oceansafariscuba.com
United States,California – Los Angeles,Redondo Beach,Dive Shop,Dive N’ Surf,Redondo Beach,,https://www.divensurf.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,dive n' surf,redondo beach,divensurf.com
