Business Name,Street Address,City,State,ZIP,Website URL,Phone,Email
ASD Scuba School,785 Pinefalls Ave,Diamond Bar,CA,91789,http://www.asdscuba.com/,"'+1 626-988-7007",
Any Water Dive Center,1344 Saratoga Avenue,San Jose,CA,95129,https://www.anywater.com/,"'+1 408-244-4433",awsdive@anywater.com
Aqua Sports of Central California (The Diver's Dive Shop),1616 E Shields Ave,Fresno,CA,93704,https://aquasports.com/,"'+1 559-224-0744",diveinfo@aquasports.com
Aquarius Dive Shop,2040 Del Monte Ave.,Monterey,CA,93940,https://aquariusdivers.com/,"'+1 831-375-1933",info@aquariusdivers.com
Bamboo Reef (Monterey),614 Lighthouse Ave,Monterey,CA,93940,https://www.bambooreef.com/,"'+1 831-372-1685",
Bamboo Reef Scuba Diving Centers (San Francisco),584 4th St,San Francisco,CA,94107,https://www.bambooreef.com/,"'+1 415-362-6694",info@bambooreef.com
Beach Cities Scuba (Dana Point),34283 Pacific Coast Hwy,Dana Point,CA,92629,https://beachcitiescuba.com/,"'+1 949-443-3858",
Beyond Land Adventures,"3445 Midway Drive, Suite G",San Diego,CA,92110,https://beyondlandadventures.com/,"'+1 619-366-6266",info@beyondlandadventures.com
Blue Holic Scuba,"3636 W Olympic Blvd, Ste A",Los Angeles,CA,90019,https://blueholicscuba.com/,"'+1 323-641-7416",blueholicscuba@yahoo.com
Bob's Dive Shop,4374 N Blackstone Ave,Fresno,CA,93726,https://bobsdiveshop.com/,"'+1 559-225-3483",
California Scuba Center,510 Shaw Ave,Clovis,CA,93612,https://www.cascubacenter.com/,"'+1 559-512-8727",info@cascubacenter.com
Carmel Bay Divers,5859 Winfield Blvd,San Jose,CA,95123,https://www.carmelbaydivers.com/,"'+1 408-227-2822",scuba@carmelbaydivers.com
Catalina Divers Supply,1 Casino Way,Avalon,CA,90704,https://www.catalinadiverssupply.com/,"'+1 310-510-2350",
Channel Islands Scuba,"1348 N Moorpark Rd, Unit B",Thousand Oaks,CA,91360,https://ciscuba.com/,"'+1 805-230-9995",
Deep Ocean Explore Store (DOER Marine),650 W Tower Ave,Alameda,CA,94501,https://deepoceanexplorestore.com/,"'+1 510-626-9044",instruction@doermarine.com
Dive California,,San Diego,CA,,https://divecalifornia.com/,"'+1 619-878-3483",info@divecalifornia.com
Dive N' Surf,504 N Broadway,Redondo Beach,CA,90277,https://divensurf.com/,"'+1 310-372-8423",web@divensurf.com
Dive and Photo,"3033 Bristol St, Suite 115",Costa Mesa,CA,92626,https://diveandphoto.com/,"'+1 949-476-8500",info@diveandphoto.com
Dolphin Scuba Center,1530 El Camino Ave,Sacramento,CA,95815,https://dolphinscuba.com/,"'+1 916-929-8188",sales@dolphinscuba.com
Eco Dive Center,4027 Sepulveda Blvd,Culver City,CA,90230,https://ecodivecenter.com/,"'+1 310-398-5759",scuba@ecodivecenter.com
FishEye Scuba,8679B Auburn Folsom Rd,Granite Bay,CA,95746,https://fisheyescuba.com/,"'+1 916-850-1145",Info@FishEyeScuba.com
High Sierra Divers,217 Palm Ave,Auburn,CA,95603,https://www.hsdivers.com/,"'+1 530-823-6757",info@hsdivers.com
Hollywood Divers,3575 Cahuenga Blvd West,Los Angeles,CA,90068,https://hollywooddivers.com/,"'+1 323-969-9666",info@hollywooddivers.com
House of Scuba,"5141 Santa Fe St, Suite A",San Diego,CA,92109,https://www.houseofscuba.com/,"'+1 858-581-2800",shop@houseofscuba.com
Malibu Divers,21231 Pacific Coast Hwy,Malibu,CA,90265,https://malibudivers.com/,"'+1 310-456-2396",
Monterey Bay Diving,"625 California Ave, Unit C",Sand City,CA,93955,https://www.montereybaydiving.com/,"'+1 831-642-9966",
Monterey Bay Scuba,32 Cannery Row,Monterey,CA,93940,https://montereybayscuba.com/,,
North County Scuba Center,122 Encinitas Blvd,Encinitas,CA,92024,https://northcountyscubacenter.com/,"'+1 760-753-0036",ncscubacenter@att.net
Ocean Enterprises,"7710 Balboa Avenue, Ste. 101",San Diego,CA,92111,https://oceanenterprises.com/,"'+1 858-565-6054",info@oceanenterprises.com
Ocean Gear Scuba Center,6836 Edinger Avenue,Huntington Beach,CA,92647,https://www.scubastuff.com/,"'+1 714-375-0595",
Ocean Safari Scuba,125 E. Las Tunas Drive,San Gabriel,CA,91776,https://www.oceansafariscuba.com/,"'+1 626-287-6283",osdt@oceansafariscuba.com
Pacific Edge (Santa Cruz),104 Bronson St #12,Santa Cruz,CA,95062,https://pacificedgeclimbinggym.com/,(831) 454-9254,
Pacific Ocean Sports,"936 Detroit Ave, Suite E",Concord,CA,94518,https://pacificoceansports.com/,"'+1 925-687-5354",info@pacificoceansports.com
Pacific Scuba Divers,1179 East Homestead Road,Sunnyvale,CA,94087,https://pacificscubadivers.com/,"'+1 408-247-7702",info@pacificscubadivers.com
Pacific Wilderness (Orange),360 South Tustin Street,Orange,CA,92866,https://pacificwilderness.com/,"'+1 714-997-5506",
Pacific Wilderness (San Pedro),1719 South Pacific Ave,San Pedro,CA,90731,https://pacificwilderness.com/,"'+1 310-833-2422",
Pinnacles Dive Center,"875 Grant Ave, Suite B",Novato,CA,94945,https://bayareascubadiving.com/,"'+1 415-897-9962",Scuba@bayareascubadiving.com
Scuba Center Temecula,"28860 Old Town Front Street, A-9",Temecula,CA,92590,https://www.scubatemecula.com/,"'+1 951-506-0252",info@scubatemecula.com
Scuba Fusion Dive Center,1210 South El Camino Real,San Mateo,CA,94402,https://www.scubafusion.com/,"'+1 650-212-3483",
Scuba Schools of America & Swim,4420 Holt Blvd,Montclair,CA,91763,https://www.scubaschoolsofamerica.com/,"'+1 909-621-4171",
Scuba World Sacramento,5114 Madison Ave,Sacramento,CA,95841,http://www.scubaworldsacto.com,"'+1 916-332-8294",
Sea Stallion Scuba Outfitters,"21098 Bake Parkway, Suite 108",Lake Forest,CA,92630,https://www.seastallion.com/,"'+1 949-699-3600",info@seastallion.com
Seals Watersports,2112 Armory Drive,Santa Rosa,CA,95401,https://www.sealswatersports.com/,"'+1 707-542-3100",fun@sealswatersports.com
Signature Scuba Diving,"11955 Jack Benny Dr, Suite 102",Rancho Cucamonga,CA,91739,https://www.signaturescubadiving.com/,"'+1 909-476-8183",info@signaturescuba.com
Sonoma Coast Divers,5702 Commerce Blvd.,Rohnert Park,CA,94928,https://www.sonomacoastdivers.com/,"'+1 707-586-0272",info@sonomacoastdivers.com
Ventura Dive & Sport,"1559 Spinnaker Dr, Suite 108",Ventura,CA,93001,https://venturadive.com/,"'+1 805-650-6500",VDSStaff@VenturaDive.com
WAVES Project (Veterans Dive Training),"42225 Remington Ave, Suite A-18",Temecula,CA,92590,https://www.wavesproject.org/,"'+1 951-308-0049",
