name,"In Supabase"
"10 Bar Underwater Housings","no"
"2Two Labs Ltd.","no"
"500 PSI, Inc.","no"
"A Plus Marine Supply Inc.","no"
"About Australia","no"
"ADEX","no"
"Africa Paradise Adventures","no"
"African and Oriental Travel Co.","no"
"Aggressor Adventures","no"
"Agusta Eco Resort","no"
"Aiyanar Beach & Dive Resort","no"
"AK Industries","no"
"Akuana America","no"
"Al-Can International LLC","no"
"Alam Batu","no"
"Alkin Compressors","no"
"All IN Aquatic Adventures Inc.","no"
"All Star Liveaboards","no"
"All West Apartment & Diving","no"
"American Dive Company","no"
"Amira Dive & Travel AG","no"
"Amoray Dive Resort","no"
"Amun ini Beach Resort & Spa","no"
"Analytical Industries, Inc.","no"
"Andean Travel Company","no"
"Anguilla Tourist Board","no"
"Anse Chastanet Resort & Scuba St. Lucia","no"
"Anthony's Key Resort","no"
"Apollo Scuba USA","no"
"Aquanauts Grenada","yes"
"Arenui Boutique Liveaboard","no"
"AREX Innovation Co., Ltd.","no"
"ARF Global","no"
"Argos Products Inc.","no"
"Armor Products, LLC","no"
"Asia Luxury Cruises 4 Diving Ltd.","no"
"Atenovo Garments(Yangzhou) Co.,Ltd.","no"
"Atlantis Philippines","no"
"ATMOS Co., Ltd.","no"
"Atmosphere Resorts & Spa","no"
"Avelo Labs","no"
"BA Shields","no"
"Backscatter uw Video & Photo","no"
"Bahamas Ministry of Tourism","no"
"Bahamas Underground","no"
"Baishijie Sports Goods Co., Ltd.","no"
"Bananarama Dive & Beach Resort","no"
"Barbados Tourism Marketing, Inc.","no"
"Barefoot Cay Resort & Marina","no"
"Bauer Compressors, Inc","no"
"Bay Islands Tourism Bureau -Oficina de Turismo de Islas de la Bahia","no"
"Belize Pro Dive Center","yes"
"Belize Tourism Board","no"
"Beneath the Sea","no"
"Beqa Lagoon Resort, Fiji","no"
"Bermuda Tourism Authority","no"
"Best Publishing Company","no"
"Big Blue by Roland St. John","no"
"Bigblue Dive Lights","no"
"Bill Beard's Diving Safaris Costa Rica","no"
"Blackbird Caye Resort","no"
"Blue Bahia Resort","no"
"Blue Diamond Dive Safaris","no"
"Blue Force Diving SL","no"
"Blue Green Expeditions","no"
"BLUE HORIZON PVT LTD","no"
"Blue Horizon Solutions","no"
"Blue Mind","no"
"Blue Salt Divers","yes"
"Blue Steel Scuba","no"
"Bonassi USA, Inc.","no"
"BOREAS CRUISES","no"
"Boutique Bonaire B.V.","no"
"Bright Buoy Diving","no"
"British Virgin Islands Tourist Board","no"
"Brix Marine","no"
"Brownie's Marine Group","no"
"Brownie's Third Lung","no"
"Bubbles for Vets","no"
"BUCEO CAREY","no"
"Buddy Dive Resort (Sapias Holding BV)","no"
"Bunaken Oasis Dive Resort & Spa","no"
"BuzoBoss, LLC","no"
"Cabañas on Clark's Cay","yes"
"Calipso Dive Galapagos","no"
"Cane Bay Dive Shop","yes"
"Cape Eleuthera Resort Ltd.","no"
"Captain Don's Habitat","no"
"Caradonna Adventures","no"
"Carter Bag Inc.","no"
"Casa Del Mar Cozumel","no"
"Cascade Game Foundry, Co.","no"
"Casco Bay Molding Ltd.","no"
"CAYAGO Americas Inc.","no"
"Chogogo Dive & Beach Resort","no"
"Clarity Outdoors","no"
"Clearly Cayman Dive Resorts","no"
"Clearwater Paradise Resort","yes"
"Cliff Weil, Inc.","no"
"Club Med Resort & Dive Center Bahamas","no"
"COARE","no"
"Coco View Resort","no"
"Coda Octopus Products Inc.","no"
"Coltri Compressors","no"
"come2indonesia","no"
"Compressed Air Supplies & Equipment","no"
"Coral Restoration Foundation","no"
"Crosskix","no"
"Crushproof Tubing Company","no"
"Cylindex","no"
"Dark Scuba","no"
"Deep Blue Adventures","no"
"DeeperBlue.com","no"
"Deeplore","no"
"Delfins Beach Resort Bonaire","no"
"DEMA","no"
"DEPTH","no"
"Dewi Nusantara","no"
"Dirty Dozen Expeditions Inc.","no"
"Dive 1st Aid","no"
"Dive Buddy Originals","no"
"Dive Damai","yes"
"Dive Division Curacao from DAW Curacao","no"
"Dive Friends Bonaire","yes"
"Dive Gaia PTE LTD","no"
"Dive Industry Foundation","no"
"Dive into Indonesia","no"
"Dive Lantern","no"
"Dive Ninja","no"
"Dive Paradise","yes"
"Dive Pirates Foundation","no"
"Dive Provo","yes"
"Dive Rite","no"
"Dive Shop 360","no"
"Dive System","no"
"Dive Talk LLC","no"
"Dive Tonga","no"
"Dive-Xtras Inc.","no"
"DiveAlert by Ideations","no"
"DiveAssure","no"
"Diveheart Foundation","no"
"DIVEIN.com","no"
"Divemates LLC","no"
"DiveNewswire","no"
"Diventures LLC","no"
"DivePhotoGuide.com","no"
"Diveplanit Travel Pty Ltd.","no"
"Divers Alert Network","no"
"Divertimento Inc.","no"
"Diveveryday Studio","no"
"DIVEVOLK","no"
"Divi Flamingo Beach Resort & Casino","no"
"Diving Unlimited International, Inc.","no"
"Doc's Proplugs, Inc.","no"
"Dominica","no"
"Dominican Republic Tourism Board","no"
"Dongguan Aloma Industrial Co., Ltd.","no"
"Dongguan Lanbo Sports Goods Co. Ltd.","no"
"Dongguan SVS Sports Goods Co., Ltd.","no"
"Doni Co., Ltd.","no"
"Dream Weaver Travel","no"
"DRT Show","no"
"ECO Divers","no"
"Edge Hog Dive Gear","no"
"Elite Adventures Belize, Ltd.","no"
"Embajada del Oceano SAS","no"
"Emperor Divers","no"
"EncomPos Software LLC","no"
"Expedition OZ","no"
"Explorer Ventures Liveaboard Fleet","no"
"Fantasy Island Beach Resort","no"
"Fiji Airways","no"
"Fins Attached","no"
"Fish 'n Fins","no"
"Fisheye Co., Ltd.","no"
"Fliptide Provisions","no"
"Florida Public Archaeology Network","no"
"Florida State University - Panama City; Advanced Science Diving Program","no"
"Fly & Sea Dive Adventures","no"
"Fog-X","no"
"Fort Young Hotel & Dive Resort","no"
"Fothergill Polycom","no"
"Fourth Element","no"
"Galapagos Sky","no"
"Galaxy Expeditions Corp","no"
"Garden Island Resort","no"
"Garmin International","no"
"Georgia Aquarium, Inc.","no"
"Go La Paz","no"
"Go West Bed & Bike","no"
"Goby Divers and WaterSports","no"
"Golden Rock Dive & Nature Resort","no"
"GoPro","no"
"Grand Bahama Island Promotion Board","no"
"Grand Trunk LLC","no"
"Grand Windsock Bonaire","no"
"Grateful Diver","no"
"Grenada Tourism Authority","no"
"Guy Harvey Foundation","no"
"Halcyon Manufacturing","no"
"Hammerhead Industries","no"
"HammerHead Spearguns","no"
"Handicapped Scuba Association","no"
"Hang Loose Bands, LLC","no"
"HANGZHOU KUDO OUTDOORS INC.","no"
"Hawaiian Islands Recreational Scuba Association","no"
"HEAD Watersports","no"
"Henderson Aquatics, Inc.","no"
"High 5 Promotions","no"
"Historical Diving Society","no"
"Honduras Coral Reef Foundation","no"
"Hotel Guanaja","no"
"HuiZhou HuaDing Sports Goods Co., Ltd.","no"
"HuNan Ebelno Technology Co., Ltd.","no"
"Hydraulics International","no"
"I.CARE Corporation","no"
"IANTD","no"
"Ibagari Boutique Hotel & Management Co., S.A.","no"
"IDEA Scuba USA","no"
"Immersive Cozumel","no"
"Infinity Bay Spa and Beach Resort","no"
"Innobeam Corporation","no"
"Innovative Scuba Concepts LLC","no"
"Inter Ocean Co., Ltd.","no"
"Interspiro, Inc.","no"
"ISLAND MARINE TOURISM VENTURES INC.","no"
"ISOTECNIC Srl.","no"
"IST Sports Corp","no"
"Jako Chemicals Co., Ltd.","no"
"Jared Bronson, Author","no"
"Jellyfish Daydreams LLC","no"
"Jr Scientists in the Sea","no"
"Juliet Sailing & Diving","yes"
"Junior Co., Ltd.","no"
"JW Fishers Mfg Inc.","no"
"Kahu Apparels LLC","no"
"Karang Divers","no"
"KELDAN GmbH","no"
"Key Largo Dive Center","no"
"Kids Sea Camp Inc.","no"
"Koro Island Resorts","no"
"Kosrae Nautilus Resort","no"
"Kraken Sports","no"
"LASO Technologies, LLC","no"
"Lefeet HK Co., Limited","no"
"Lembeh Resort","no"
"LifeWaters","no"
"Lionfish Central, Inc.","no"
"Lionfish University","no"
"Lita's Natural Insect Repellent Products","no"
"Liu Ying International Ent. Co., Ltd.","no"
"Lotus Hotel Pte Ltd.","no"
"Luxury Yacht Maldives by Albatros Top Boat","no"
"LW Americas","no"
"MAC SRL","no"
"Maduro Dive","no"
"Maldives Legend","no"
"Manado City Government","no"
"Manta Pacific Research Foundation","no"
"Manthiri Maldives","no"
"Maputo Dive Center","no"
"Marco Vincent Dive Resort","no"
"Marelux Precision Inc.","no"
"Marine Sports Mfg.","no"
"MaskOptix","no"
"Master Liveaboards","no"
"Max-Air","no"
"Mayan Princess Beach & Dive Resort","no"
"Mexican Caribbean","no"
"Mexico Liveaboards","no"
"Mike Ball Dive Expeditions","no"
"Mods Drysuit","no"
"Mosaico LLC","no"
"Mother of Corals","no"
"Multinational Co., Ltd.","no"
"NAD-Lembeh Resort","no"
"Nam Liong (USA) Inc.","no"
"Nardi Compressori Srl.","no"
"Narwhal Technology (Dongguan) Co., Ltd","no"
"National Association of Black Scuba Divers (NABS)","no"
"National Speleological Society Cave Diving Section","no"
"NAUI Worldwide","no"
"Nauticam","no"
"Nautilus Jewelry","no"
"Nautilus Liveaboards","yes"
"Neal Watson's Bimini Scuba Center","no"
"Nemo Power Tools","no"
"Neptune Liveaboards Indonesia","no"
"Newton Boats, Inc.","no"
"NEX Underwater Products","no"
"Nextgen Diving Travel S.L","no"
"Nokta Muhendislik AS","no"
"Northwest Florida Beaches","no"
"Nukubati Great Sea Reef","no"
"Nuvair","no"
"Nuytco Research Ltd.","no"
"Ocean Armour Pty Ltd","no"
"Ocean Breeze Liveaboards","no"
"Ocean Encounters Diving","no"
"Ocean Frontiers Cayman Islands","no"
"Ocean Geographic","no"
"Ocean Motion Wear","no"
"Ocean Reef Inc.","no"
"Ocean Technology Systems","no"
"Oceanears","no"
"Oceanwide Expeditions","no"
"OCG Creative, LLC","no"
"Odyssey Adventures","no"
"OmniSwivel International","no"
"One Dive, Inc.","no"
"Openwater Trips LLC","no"
"Orcatorch Technology Limited","no"
"Pacific Scuba Industries (PS) Diving & Product Inc","no"
"Pacific Tourism Organisation(SPTO)","no"
"PADI","no"
"Palau Pacific Resort","no"
"Papua New Guinea Divers Assn. Inc.","no"
"Paradise Hotels & Resorts, SA","no"
"Paradise Taveuni","yes"
"Paragon Dive Group, LLC","no"
"Pearl Fleet","no"
"PentX","no"
"Philippine Department of Tourism","no"
"Pindito","no"
"Plaza Beach Resort Bonaire","no"
"Portugal Dive","no"
"Poseidon Dive Adventures","no"
"Poseidon Diving Systems","no"
"Prescription Dive Masks Inc","no"
"Prescription Diving Mask – Germany","no"
"Pristine Management","no"
"Pro Dive International","yes"
"Pro-Techt Co., Ltd.","no"
"Professional Scuba Inspectors, Inc.","no"
"PSS Worldwide by Dive Italia srl","no"
"PT Blue Dream Phinisi","no"
"PT Kusu Island Resort","no"
"PT Lagaligo Tirta Wisata","no"
"PT Ocean Explorers","no"
"PT Velocean Marina Indonesia","no"
"QBAS Co., Ltd.","no"
"Quest Dive Adventures","no"
"Quetzal Liveaboard Expeditions","no"
"RAID US LLC","no"
"Rainbow Reef Dive Center","yes"
"Ramon's Village Resort","no"
"Raw Love Sunscreen","no"
"Reef & Rainforest","no"
"Reef Smart Guides","no"
"REEF- Reef Environmental Education Foundation","no"
"Revolut Pharm Sp. z o.o. (LATRO)","no"
"RHEO DIVE Inc.","no"
"Riptide Sales Group","no"
"Roatan Charter","no"
"Rork Media Limited","no"
"Rum Reggae","no"
"Safari Tours & Travel Manado","no"
"Safety Lab Plus, Inc.","no"
"Saint Lucia Tourism Authority","no"
"Saint Vincent and the Grenadines","no"
"Salaya Beach Houses","no"
"Salvimar Srl.","no"
"Samambaia Liveaboard","no"
"Saphire Dive & Travel, Corp","no"
"Sau Bay Resort & Spa","yes"
"Scandi Divers Resort","no"
"Scuba Adventures","no"
"Scuba and Chill - Dominican Republic","no"
"Scuba Diving Industry Magazine by Cline Group","no"
"Scuba Diving International","no"
"Scuba Dreams Travel","no"
"Scuba Educators International","no"
"Scuba Magician","no"
"Scuba Sense Inc.","no"
"Scuba Stik LLC","no"
"Scuba Travel Ventures","no"
"ScubaDoRag","no"
"SCUBAPRO","no"
"Scubaqua Dive Center","no"
"ScubaRadio","no"
"Scubaspa Fleet","no"
"Scubatron, Inc.","no"
"ScubaVIPdecals.com","no"
"Sea Breeze Trading Limited","no"
"Sea Experience, Inc.","no"
"Sea Fear","no"
"Sea I See Liveaboard Indonesia","no"
"Sea Kreature","no"
"Sea Saba","no"
"Sea Yacht Red Sea Liveaboards","no"
"Sea, Cavern & Sinkholes","no"
"SEAC","no"
"SEACAM","no"
"SeaLife Cameras","no"
"SEL Concepts","no"
"SF Tech SARL","no"
"Shanghai Keyi Culture Communication Co., Ltd.","no"
"SHARKSKIN USA INC.","no"
"Shearwater Research Inc.","no"
"Shenzhen Divepro Co., Ltd.","no"
"Shenzhen Finmos Technology Co., Ltd.","no"
"Shenzhen Kaichengyi Technology Co., Ltd.","no"
"Shenzhen Reanson Products Co., Ltd.","no"
"Shenzhen Skywoods Lighting Technology Co., Ltd.","no"
"Shenzhen Songxin Sports Products Co., Ltd.","no"
"Sherwood Scuba","no"
"SHOKZ (SINGAPORE) PTE. LTD.","no"
"SI TECH AB","no"
"Siladen Island Resort Spa","no"
"SingleDivers.com","no"
"SK Manufacturing Co., Ltd","no"
"SNSI","no"
"SNUGPAK USA","no"
"Solitude Liveaboards & Resorts","no"
"South Pacific Island Travel","no"
"Southeast Scuba Escape","no"
"Spacefish Army","no"
"Spirit Liveaboards","no"
"Splash Dive Center Limited","no"
"Sport Fishing Parisi s.r.l.","no"
"Sportube","no"
"Spyderco, Inc","no"
"SquallTrack LLC","no"
"SS Handcrafted Art LLC","no"
"Stinapa Bonaire","no"
"Stream2Sea","no"
"Stuart Cove's Dive Bahamas","yes"
"Sub Oceanic Maldives","no"
"Sub Sea Systems, Inc.","no"
"Sublue","no"
"Submersibles Systems","no"
"Subsalve USA","no"
"Suex Sport USA Inc.","no"
"SunBreeze Hotel","no"
"Sunwise Style","no"
"Surf-fur","no"
"Suunto USA","no"
"TABATA USA, Inc.","no"
"Tahiti Tourisme United States","no"
"Tank'd Pro Dive Center Utila","no"
"TEKTITE Industries","no"
"The LZK Group, LLC","no"
"The Pearl Resort","no"
"Tide Quest Inc.","no"
"Tobago Tourism Agency Limited","no"
"Tonga Tourism Authority","no"
"Tourism Corporation Bonaire (TCB)","no"
"Tourism Fiji","no"
"Tourism Solomons","no"
"Transcendent Journeys Tanzania","no"
"TRI Air Testing Inc.","no"
"Trident Adventures LLC","no"
"Trident Diving Equipment","no"
"Trident Motion, LLC","no"
"TrimDrive US","no"
"Triton Diving Equipment Corp.","no"
"Tsun Kuang Hardware Mfg. Co. Ltd.","no"
"Turquoise Bay Dive & Beach Resort","no"
"U.S. JaClean","no"
"Ultimate Fiji Vacations","no"
"Ultralight Camera Solutions","no"
"Undersea Hunter","no"
"Underwater Society of America","no"
"Unique Travel Corp.","no"
"United Airlines","no"
"Utila Lodge","no"
"Vacation and Travel Group LLC","no"
"Vanuatu Tourism Office","no"
"Victory","no"
"Vid Adventures Travel. Inc","no"
"Vifa Holiday DMC Indonesia","no"
"Villa on Dunbar Rock","yes"
"VIP Diving Bonaire","no"
"Visit Baja Sur","no"
"Visit Florida Keys","no"
"Viva Fortuna Beach by Wyndham","no"
"Volivoli Beach Resort","no"
"Waidroka Bay Resort","yes"
"Wanderlust Hats LLC","no"
"Warhammer Spearguns","no"
"Waterlust","no"
"Waterproof Diving Int.","no"
"Watershed","no"
"WeTravel Inc.","no"
"White Manta Diving Pte. Ltd.","no"
"Whites Drywear","no"
"Women Divers Hall of Fame Inc.","no"
"World Dive Adventures","no"
"World of Diving","no"
"X-Ray Magazine","no"
"XDEEP","no"
"XS Scuba","no"
"Yuhsin System Inc.","no"
"‘Alohi Kai Jewelry","no"
